============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 4267367.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.9458E+06 -3.6362E+04  1.0843E+05
0000002   1.9305E+06 -1.3667E+05  1.0224E+04
0000003   1.9221E+06 -1.0182E+05  7.1777E+04
0000004   1.9204E+06  5.4150E+04  5.8199E+03
0000005   1.9260E+06 -1.0634E+05  5.6996E+04
0000006   1.9451E+06  1.3489E+05  5.0390E+04
0000007   1.9179E+06  1.6082E+05 -1.5874E+04
0000008   1.9058E+06 -8.4696E+04  4.8404E+04
0000009   1.9443E+06  1.2144E+04 -5.0726E+04
0000010   1.9333E+06 -1.2336E+05 -1.7289E+04
0000011   1.8516E+06  8.7955E+04  2.9237E+05
0000012   1.9228E+06  5.9394E+02 -7.4610E+04
0000013   1.9347E+06  7.3689E+04  7.4630E+04
0000014   1.9172E+06  1.3684E+05  9.2333E+04
0000015   1.9323E+06  4.0285E+04  2.2110E+04
0000016   1.9169E+06 -2.1361E+04 -1.7395E+05
0000017   1.9033E+06  3.2632E+04  5.2031E+04
0000018   1.8945E+06  9.1245E+03  8.8591E+04
0000019   1.9350E+06  5.5833E+04  9.6841E+04
0000020   1.9187E+06  3.0822E+04 -1.1007E+05
0000021   1.9284E+06  3.1490E+04 -2.5820E+04
0000022   1.9391E+06  1.0130E+05  1.0755E+05
0000023   1.9206E+06  6.2546E+04  1.4970E+05
0000024   1.9493E+06  5.1617E+03  4.5907E+04
0000025   1.9268E+06 -1.3054E+05 -1.4679E+04
0000026   1.9121E+06 -1.1684E+05 -9.6512E+04
0000027   1.9293E+06 -4.4730E+03  7.7676E+03
0000028   1.9092E+06  5.9637E+03 -5.0268E+04
0000029   1.9052E+06  5.3216E+04 -1.8156E+02
0000030   1.8901E+06 -1.1794E+05 -1.6435E+05
0000031   1.9261E+06 -5.6412E+03  3.7708E+04
0000032   1.9358E+06  1.7297E+03 -3.4857E+04
0000033   1.9336E+06 -5.1970E+04  8.4177E+04
0000034   1.9037E+06  1.2783E+05 -6.1234E+04
0000035   1.8986E+06  7.2153E+04  2.5547E+05
0000036   1.9275E+06  1.0799E+03  5.9616E+04
0000037   1.9140E+06 -9.0466E+04 -2.0680E+05
0000038   1.9371E+06  1.5358E+05 -3.5700E+04
0000039   1.8899E+06 -1.4662E+05 -1.2962E+05
0000040   1.9075E+06 -1.2172E+05 -6.4521E+04
0000041   1.9308E+06  7.8248E+04  9.1585E+04
0000042   1.9215E+06 -4.9288E+04 -6.7222E+04
0000043   1.9098E+06 -1.9421E+05  4.3678E+04
0000044   1.9138E+06 -3.3424E+05 -1.3960E+05
0000045   1.9424E+06  8.0787E+04  3.0988E+04
0000046   1.8952E+06 -1.1386E+05  1.7531E+05
0000047   1.9311E+06 -1.5634E+04  1.2462E+04
0000048   1.9287E+06 -6.4735E+04 -7.4441E+04
0000049   1.9450E+06  1.3402E+05  6.8470E+04
0000050   1.9369E+06 -8.4335E+04  1.1181E+05
0000051   1.9297E+06  4.1039E+04  8.8995E+04
0000052   1.9259E+06 -5.9754E+04  4.3844E+04
0000053   1.9099E+06  6.9217E+04 -4.6900E+04
0000054   1.9393E+06 -7.8729E+04 -1.8950E+04
0000055   1.9292E+06  6.2622E+04 -9.9762E+04
0000056   1.9342E+06  1.8458E+04 -9.6810E+02
0000057   1.0775E+06 -3.7659E+05 -1.3831E+06
0000058   1.9083E+06 -1.6411E+05 -1.1108E+04
0000059   1.9256E+06 -7.7492E+04 -3.6926E+04
0000060   1.9163E+06 -5.4161E+04 -1.7906E+03
0000061   1.9177E+06 -1.0217E+05  4.4646E+04
0000062   1.9179E+06  1.6461E+05 -8.8327E+04
0000063   1.9451E+06 -9.0807E+04  3.5520E+04
0000064   1.9374E+06  5.9581E+04 -8.5617E+03
0000065   1.9058E+06 -1.0849E+05  2.5793E+04
0000066   1.9252E+06 -1.4417E+05  9.1976E+04
0000067   1.9359E+06  4.3277E+04  2.2575E+04
0000068   1.9227E+06  1.2311E+04  7.1782E+04
0000069   1.9134E+06 -8.8577E+04  7.1167E+04
0000070   1.8847E+06  1.6716E+05  1.4670E+05
0000071   1.8978E+06 -5.9394E+04  2.5264E+05
0000072   1.8970E+06 -3.4339E+04  4.1808E+04
0000073   1.9338E+06  9.9326E+04 -1.0278E+05
0000074   1.9325E+06  9.4865E+04 -7.8055E+03
0000075   1.9314E+06 -2.6287E+04  1.1852E+05
0000076   1.9045E+06  1.7403E+05 -6.5361E+04
0000077   1.9392E+06  2.2909E+04 -1.0063E+05
0000078   1.9501E+06 -3.6250E+04 -4.9607E+04
0000079   1.9082E+06  1.2797E+05 -1.0759E+04
0000080   1.9249E+06 -6.8948E+04  1.3971E+05
0000081   1.9224E+06  3.1166E+04 -2.2994E+05
0000082   1.9068E+06 -6.7575E+04 -6.6741E+04
0000083   1.9376E+06  7.0716E+04  1.4753E+05
0000084   1.9411E+06 -1.0511E+04 -2.6374E+04
0000085   1.8654E+06  2.4683E+05 -3.3065E+04
0000086   1.9106E+06 -3.3428E+04 -2.7407E+04
0000087   1.8696E+06  3.2111E+04 -1.3146E+05
0000088   1.9032E+06  1.3593E+05  7.0108E+04
0000089   1.9551E+06  1.4866E+04 -8.9060E+04
0000090   1.9400E+06  1.0568E+03 -1.1783E+05
0000091   1.9354E+06 -3.4592E+04 -5.3302E+04
0000092   1.9134E+06 -1.1740E+04  5.5118E+04
0000093   1.9145E+06 -1.3107E+05  9.5020E+04
0000094   1.8916E+06 -1.1647E+05 -1.7068E+05
0000095   1.9082E+06 -9.6042E+04 -1.9384E+05
0000096   1.9421E+06 -9.5834E+04  3.4099E+04
0000097   1.9068E+06 -2.9060E+04  9.7539E+04
0000098   1.9288E+06  9.8994E+03  3.4818E+04
0000099   1.9343E+06 -2.0233E+05 -8.9056E+04
0000100   1.9196E+06 -4.6575E+04  1.0832E+05
0000101   1.9378E+06 -5.0585E+04 -4.2148E+04
0000102   1.9271E+06 -9.0449E+03 -1.2571E+04
0000103   1.9122E+06  1.8256E+05 -4.3897E+04
0000104   1.9003E+06 -1.5055E+05 -1.7753E+04
0000105   1.8953E+06  1.5614E+05  8.1458E+04
0000106   1.8855E+06 -2.1060E+05  1.4864E+05
