============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1878643.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.9516E+06  3.6680E+04  1.2579E+04
0000002   1.9436E+06  4.3575E+03  4.9898E+04
0000003   1.9476E+06 -1.3907E+04  1.9444E+04
0000004   1.9640E+06  1.5511E+04 -8.0867E+03
0000005   1.9667E+06 -2.2740E+04  3.3361E+04
0000006   1.9730E+06  6.9871E+04 -3.0537E+04
0000007   1.9515E+06  5.4305E+04 -1.4385E+04
0000008   1.9310E+06  1.8689E+04  5.0191E+03
0000009   1.9293E+06 -2.1902E+04  3.2646E+04
0000010   1.9500E+06  3.3420E+03  4.4221E+04
0000011   1.9598E+06  3.8195E+04 -1.4891E+04
0000012   1.9637E+06  1.5315E+04 -2.2798E+04
0000013   1.9316E+06 -2.9191E+04  2.4353E+04
0000014   1.9634E+06  2.2965E+04  5.8693E+03
0000015   1.9556E+06  2.9980E+04  3.5271E+04
0000016   1.9484E+06  3.2836E+04  1.3853E+04
0000017   1.9585E+06  7.1016E+04 -1.8252E+04
0000018   1.9636E+06 -4.3591E+04  1.2241E+04
0000019   1.9573E+06 -1.8464E+02  2.1526E+04
0000020   1.9183E+06 -1.1701E+04  3.0715E+04
0000021   1.9645E+06  2.5862E+04 -5.1374E+04
0000022   1.9582E+06  8.2282E+02 -9.9243E+03
0000023   1.9675E+06 -8.2429E+04 -4.1030E+04
0000024   1.9596E+06 -6.4643E+04 -2.4254E+04
0000025   1.9558E+06 -6.7727E+03  1.1167E+04
0000026   1.9472E+06  1.8045E+04 -1.4256E+04
0000027   1.9526E+06  1.4541E+04  5.0660E+04
0000028   1.9398E+06 -8.5768E+03  1.8669E+04
0000029   1.9516E+06 -9.2366E+03  5.4625E+03
0000030   1.9621E+06 -5.4606E+04  1.0625E+04
0000031   1.9475E+06 -1.5774E+04  4.7839E+04
0000032   1.9776E+06 -7.4936E+03  4.1187E+04
0000033   1.9610E+06 -2.1442E+04 -4.3298E+04
0000034   1.9469E+06 -3.6961E+03 -4.3818E+04
0000035   1.9411E+06 -1.4317E+04 -3.2207E+04
0000036   1.9720E+06 -3.7786E+02 -3.1045E+04
0000037   1.9550E+06 -3.6760E+04  4.5644E+04
0000038   1.9539E+06  2.5060E+04  4.2436E+04
0000039   1.9591E+06  2.5350E+04 -2.0931E+03
0000040   1.9323E+06  4.8850E+04  1.2142E+03
0000041   1.9409E+06  4.6741E+04 -3.9880E+04
0000042   1.9331E+06  1.2981E+04  3.4093E+04
0000043   1.9747E+06 -1.4012E+02 -5.0460E+04
0000044   1.9432E+06 -7.6246E+04  3.6844E+04
0000045   1.9686E+06  5.0275E+04  1.2472E+04
0000046   1.9519E+06  1.4695E+04  1.6373E+02
0000047   1.9591E+06 -1.5375E+04  3.9194E+04
0000048   1.9562E+06  7.5849E+03  1.9502E+04
0000049   1.9583E+06  3.7477E+04  3.7846E+04
0000050   1.9280E+06  8.6458E+04 -4.7364E+04
0000051   1.9215E+06 -6.9675E+04 -1.8179E+05
0000052   1.9599E+06  3.2359E+04 -1.8438E+04
0000053   1.9530E+06 -2.3222E+04 -3.4663E+03
0000054   1.9239E+06  2.7046E+04 -3.1586E+04
0000055   1.9674E+06 -2.2751E+04 -6.2049E+03
0000056   1.9331E+06 -6.2146E+04 -3.2684E+04
0000057   1.9661E+06 -8.3937E+04 -3.3334E+04
0000058   1.9597E+06  2.1113E+04  1.0400E+05
0000059   1.9771E+06 -1.6152E+04  3.0051E+04
0000060   1.9737E+06  1.1127E+04 -3.5331E+04
0000061   1.9548E+06 -6.5067E+04 -7.2230E+03
0000062   1.9478E+06  5.8144E+02  1.7266E+04
0000063   1.9720E+06 -2.2825E+04  1.6898E+04
0000064   1.9350E+06  3.9096E+04  1.6777E+04
0000065   1.9235E+06 -4.2014E+04 -1.4025E+03
0000066   1.9481E+06  2.8350E+04 -1.0995E+04
0000067   1.9500E+06  1.9592E+03 -1.8856E+04
0000068   1.9400E+06 -2.1174E+04 -8.4745E+03
0000069   1.9583E+06 -5.2800E+04 -3.7786E+03
0000070   1.9512E+06  1.1042E+04 -5.8910E+04
0000071   1.9681E+06  2.0644E+04 -1.9898E+04
0000072   1.9355E+06 -3.5654E+04 -5.8204E+03
0000073   1.9699E+06 -1.6642E+04 -7.0621E+04
0000074   1.9708E+06 -4.2570E+04 -3.8305E+03
0000075   1.9511E+06 -5.5588E+04 -5.6453E+04
0000076   1.9562E+06  2.9871E+04  1.1626E+04
0000077   1.9444E+06  1.0354E+05 -4.6893E+04
0000078   1.9294E+06 -3.9480E+04  3.0053E+04
0000079   1.9083E+06  1.6838E+04  3.9056E+04
0000080   1.9475E+06  2.7378E+04 -1.6045E+04
0000081   1.9539E+06 -7.1692E+03 -1.2932E+04
0000082   1.9469E+06 -1.4262E+03 -3.6001E+03
0000083   1.9503E+06 -4.1998E+04  7.2662E+03
0000084   1.9622E+06 -2.9951E+04 -5.2734E+04
0000085   1.9448E+06  4.6808E+04  5.3450E+03
0000086   1.9723E+06 -4.5648E+04 -4.2888E+04
0000087   1.9268E+06  7.3981E+04  9.0158E+04
0000088   1.9390E+06  1.2542E+04  6.8877E+02
0000089   1.9428E+06 -4.7671E+03  7.1276E+03
0000090   1.9644E+06 -2.1967E+04 -9.7267E+03
0000091   1.9386E+06 -5.2855E+04  5.0123E+04
0000092   1.9452E+06 -4.2057E+04  8.2866E+04
0000093   1.9404E+06  3.5547E+04 -1.4424E+04
0000094   1.9679E+06  7.9336E+04 -1.2105E+04
0000095   1.9658E+06 -3.9546E+04  1.5229E+04
0000096   1.9465E+06 -3.4904E+04 -3.5746E+04
0000097   1.9416E+06 -2.5967E+04  3.0539E+04
0000098   1.9576E+06  1.7472E+04  6.4133E+03
0000099   1.9374E+06 -9.5161E+02 -1.5686E+04
0000100   1.9550E+06 -9.7297E+04  1.2119E+04
0000101   1.9358E+06  1.4356E+04 -8.2919E+03
0000102   1.9535E+06 -4.9301E+04 -1.3865E+04
0000103   1.9519E+06 -2.0483E+04 -4.6111E+04
0000104   1.9406E+06  4.4708E+04 -2.9773E+04
0000105   1.9625E+06 -3.3231E+04  1.8672E+04
0000106   1.9109E+06  3.1706E+04  6.4742E+04
