============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1222974.E-01 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0952E+07  6.7949E+05  1.1734E+05
0000002   5.1281E+07 -9.1120E+05  5.1095E+05
0000003   5.0614E+07 -5.1551E+05  6.6020E+05
0000004   5.1365E+07 -4.9106E+05  9.0456E+05
0000005   5.1130E+07 -1.3718E+05 -6.8177E+05
0000006   5.0939E+07  3.2640E+05  1.1580E+05
0000007   5.1428E+07 -4.5612E+05 -6.6452E+05
0000008   5.0289E+07 -1.5365E+06  8.1999E+05
0000009   5.0798E+07 -1.5185E+05  3.3521E+05
0000010   5.0503E+07 -7.9287E+05  1.0575E+06
0000011   5.0938E+07  8.6123E+05  4.6031E+05
0000012   5.0894E+07 -2.4404E+05 -1.3686E+05
0000013   5.1390E+07 -1.1688E+06  6.0763E+05
0000014   5.0540E+07 -3.9571E+05  6.5601E+05
0000015   5.0830E+07 -3.0196E+05 -1.4923E+06
0000016   5.1612E+07  4.0968E+05 -1.0678E+05
0000017   5.1420E+07  1.4121E+06  1.5251E+05
0000018   5.1010E+07  7.2175E+05 -1.6938E+05
0000019   5.0613E+07 -8.2949E+05  6.3687E+05
0000020   5.1321E+07  2.5743E+05  2.1448E+05
0000021   5.1103E+07  3.9798E+05  1.4278E+06
0000022   5.0936E+07  2.0567E+06 -9.1713E+05
0000023   5.0727E+07 -1.1068E+06  7.0800E+05
0000024   5.0833E+07  2.4206E+05 -1.1475E+05
0000025   5.1111E+07  1.3565E+06  1.2312E+06
0000026   5.0592E+07 -1.2014E+06 -1.1659E+06
0000027   5.1011E+07 -6.4873E+05 -3.7254E+05
0000028   5.0634E+07 -2.9815E+05  3.8870E+05
0000029   5.0520E+07 -8.3452E+05 -8.0657E+05
0000030   5.0731E+07  1.1680E+06 -5.1131E+05
0000031   5.1124E+07 -1.2769E+05  3.7548E+05
0000032   5.0829E+07 -7.3840E+05  8.7742E+05
0000033   5.0872E+07 -3.6149E+05  5.0551E+05
0000034   5.0862E+07  1.8227E+06  2.4171E+05
0000035   5.1093E+07 -4.8466E+05  1.5675E+06
0000036   5.0278E+07 -8.1035E+05 -5.4736E+05
0000037   5.1013E+07 -4.1885E+05 -3.9270E+05
0000038   5.1260E+07  2.7554E+05  1.6958E+05
0000039   5.0273E+07 -4.1431E+05 -5.7094E+05
0000040   5.0728E+07 -5.8894E+05 -7.0140E+05
0000041   5.0887E+07  2.7160E+05  9.4399E+05
0000042   5.1001E+07  1.1150E+05  9.5789E+05
0000043   5.0812E+07  1.2724E+05 -7.7085E+04
0000044   5.0891E+07 -3.9950E+05  1.1596E+06
0000045   5.0618E+07 -2.3357E+05  9.7486E+05
0000046   5.0843E+07  8.5877E+05  3.9479E+05
0000047   5.0857E+07 -3.7777E+05  1.2241E+06
0000048   5.0947E+07 -2.4935E+05 -7.7118E+05
0000049   5.0565E+07 -6.0337E+05  1.5999E+05
0000050   5.0875E+07  6.9745E+05  1.6211E+06
0000051   5.0731E+07  1.9006E+06  1.2802E+05
0000052   5.0687E+07 -1.3557E+06  8.7228E+05
0000053   5.0690E+07  7.4649E+05 -8.2265E+04
0000054   5.1015E+07  1.2245E+05 -5.0282E+05
0000055   5.0097E+07  1.9535E+06  8.3125E+05
0000056   5.0621E+07  4.2400E+05 -4.1874E+05
0000057   5.1313E+07 -2.1244E+05  3.8372E+05
0000058   5.1323E+07 -5.4195E+05 -2.1418E+05
0000059   5.0884E+07  3.5836E+05 -3.0145E+05
0000060   5.0019E+07 -1.3740E+06 -6.1396E+05
0000061   4.8916E+07  2.2137E+06  8.2333E+06
0000062   5.0953E+07 -8.1434E+05 -1.8401E+05
0000063   5.0933E+07 -1.9788E+05 -4.2146E+05
0000064   5.0541E+07 -1.4484E+05 -3.1350E+05
0000065   5.1218E+07 -1.4685E+06  4.6584E+05
0000066   5.1587E+07  6.4978E+04  2.3114E+06
0000067   5.1318E+07  6.4222E+05  2.7606E+04
0000068   5.0945E+07  6.5020E+05 -8.9931E+05
0000069   5.1403E+07 -1.8578E+05  8.7007E+05
0000070   5.1466E+07  1.0061E+05 -6.7238E+05
0000071   5.0710E+07 -1.4516E+06 -1.7459E+05
0000072   5.0801E+07 -9.0433E+04  1.3324E+06
0000073   5.0324E+07 -6.2232E+05  3.2699E+05
0000074   5.0622E+07  1.9380E+05  1.9918E+05
0000075   5.0906E+07  1.1555E+06 -7.9313E+05
0000076   5.0821E+07 -4.5852E+05 -8.3412E+05
0000077   5.0955E+07 -4.5583E+05  1.0514E+06
0000078   5.0909E+07  7.7137E+04 -4.4055E+05
0000079   5.0691E+07  2.1552E+04 -5.0564E+05
0000080   5.0835E+07  1.3171E+05  6.5014E+05
0000081   5.1412E+07 -1.8438E+05 -1.6855E+05
0000082   5.0689E+07 -5.8382E+05 -4.3909E+05
0000083   5.0913E+07  4.6015E+05 -4.7913E+05
0000084   5.0784E+07  8.3793E+05 -7.3896E+05
0000085   5.0707E+07  3.1984E+05 -2.9875E+05
0000086   5.0517E+07  1.9304E+05 -3.6696E+05
0000087   5.1109E+07 -2.5740E+05  7.9502E+05
0000088   5.1207E+07  1.1321E+06  8.1237E+05
0000089   5.1315E+07 -1.7320E+05 -1.5693E+06
0000090   5.1113E+07 -8.7989E+05  8.3977E+05
0000091   5.1237E+07 -1.9858E+06 -3.5913E+05
0000092   5.0594E+07  3.9250E+05  4.7311E+05
0000093   5.1000E+07  2.4322E+05 -6.6205E+05
0000094   5.1399E+07  1.1356E+05  1.0492E+06
0000095   5.1097E+07  8.2518E+05 -1.3458E+06
0000096   5.0546E+07  1.0723E+06 -7.2260E+05
0000097   5.0934E+07 -2.6713E+05 -1.7716E+05
0000098   5.0360E+07  1.0444E+06  3.7924E+05
0000099   5.0656E+07 -1.3244E+06 -3.6213E+05
0000100   5.0484E+07 -9.5174E+05  4.2966E+04
0000101   5.0603E+07 -8.0210E+05 -8.3907E+03
0000102   5.0873E+07 -6.6839E+05 -1.6994E+05
0000103   5.0894E+07 -3.8060E+05 -7.3374E+05
0000104   5.0738E+07  2.3903E+06 -1.3819E+06
0000105   5.1349E+07  1.4455E+06 -1.6539E+05
0000106   4.8448E+07 -9.4640E+06 -1.1307E+06
