============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1936337.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000100   2.2622E+07 -1.3765E+05 -4.8920E+04
0000101   2.2880E+07 -3.9811E+04  1.3624E+06
0000102   2.2319E+07  6.2738E+05  1.1804E+06
0000103   2.2678E+07 -1.0492E+05  2.4171E+05
0000104   2.3068E+07  4.1814E+05  6.3933E+05
0000105   2.2719E+07 -4.1966E+05 -1.5202E+04
0000106   2.2822E+07 -2.2236E+05 -3.2522E+05
0000107   2.2288E+07  3.2982E+05  2.0307E+06
0000108   2.2220E+07  2.4601E+05 -1.9702E+06
0000109   2.3265E+07 -7.5391E+05 -2.4010E+04
0000110   2.2530E+07  1.2366E+04 -3.3602E+05
0000111   2.2196E+07  2.2621E+06  4.6932E+05
0000112   2.2247E+07  4.1630E+05 -3.9548E+05
0000113   2.2480E+07 -5.7593E+05  1.1273E+06
0000114   2.2566E+07 -2.5406E+05  1.2635E+05
0000115   2.2355E+07  2.4414E+05  2.4995E+05
0000116   2.2820E+07  6.3883E+05  7.1648E+05
0000117   2.2901E+07  3.2584E+05  2.5435E+05
0000118   2.2552E+07  2.1963E+05  1.6053E+06
0000119   2.2953E+07 -2.7929E+05  7.5486E+05
0000120   2.2859E+07  2.6955E+05  2.1945E+05
0000121   2.2628E+07  3.1511E+04 -6.8005E+05
0000122   2.2751E+07 -9.7660E+05  1.9154E+05
0000123   2.2660E+07 -7.5857E+05 -3.4633E+04
0000124   2.1995E+07  8.9243E+05  1.2521E+06
0000125   2.2628E+07 -3.0311E+05  4.3711E+05
0000126   2.2729E+07 -1.4685E+06  6.1706E+05
0000127   2.2128E+07  6.3304E+05 -8.3203E+05
0000128   2.2747E+07  8.4520E+05  4.5409E+05
0000129   2.2075E+07  8.8395E+05 -1.0876E+06
0000130   2.2554E+07  1.4414E+05  6.5265E+05
0000131   2.2261E+07 -3.9882E+03 -1.8053E+05
0000132   2.2338E+07  1.4952E+04 -5.8967E+05
0000133   2.2774E+07  8.0311E+03  9.4470E+04
0000134   2.3008E+07  3.5011E+05  4.0941E+05
0000135   2.2356E+07 -9.2161E+05 -1.5391E+06
0000136   2.2194E+07 -9.1067E+05 -8.7775E+05
0000137   2.2453E+07 -1.3014E+05 -3.2331E+05
0000138   2.1774E+07 -3.0299E+06 -1.0169E+06
0000139   1.8551E+07  4.7313E+06 -9.0218E+06
0000140   2.2342E+07  6.6101E+04 -1.7607E+06
0000141   2.3107E+07  1.5619E+05 -1.4655E+05
0000142   2.2665E+07  2.2077E+05  8.7925E+05
0000143   2.2614E+07 -5.4615E+05 -5.5874E+04
0000144   2.3209E+07 -8.0594E+04  1.0815E+05
0000145   2.2953E+07  2.5058E+04 -1.2032E+06
0000146   2.2899E+07 -4.0596E+05  7.0978E+05
0000147   2.3326E+07 -4.5490E+05  2.8087E+05
0000148   2.2604E+07  1.1488E+06  5.5805E+05
0000149   2.2234E+07 -2.2072E+05 -1.0582E+05
0000150   2.2378E+07 -3.3877E+05 -4.5463E+05
0000151   2.3513E+07  9.3421E+05 -4.9804E+05
0000152   2.2173E+07 -8.2806E+05  2.8334E+05
0000153   2.2590E+07 -3.0837E+05 -3.4252E+05
0000154   2.2438E+07 -2.0827E+05 -7.1580E+05
0000155   2.3213E+07  6.3788E+05 -4.3968E+05
0000156   2.2903E+07  1.1942E+05 -4.8264E+05
0000157   2.2549E+07 -5.6692E+05 -2.5184E+04
0000158   2.2356E+07 -7.9121E+05 -3.2911E+05
0000159   2.2872E+07 -6.3603E+05 -5.6612E+05
0000160   2.2619E+07 -1.5990E+06 -1.0609E+05
0000161   2.2014E+07  5.5369E+04  1.3517E+04
0000162   2.2748E+07 -7.4977E+05  8.4254E+05
0000163   2.2105E+07  6.5631E+05  5.9259E+05
0000164   2.2641E+07  3.7998E+05 -1.4239E+06
0000165   2.2932E+07  3.7287E+05  9.3467E+05
0000166   2.1867E+07 -1.5583E+06  8.9884E+05
0000167   2.1948E+07  5.9909E+05 -3.5358E+05
0000168   2.2563E+07  6.5187E+05 -2.7476E+05
0000169   2.2312E+07  1.2571E+05 -8.2451E+04
0000170   2.2600E+07 -7.2178E+05 -6.4599E+04
0000171   2.1946E+07 -5.0499E+05 -3.5705E+04
0000172   2.2596E+07  2.4525E+03  6.8109E+05
0000173   2.2523E+07  8.9043E+05 -7.8093E+05
0000174   2.2487E+07 -4.5942E+05  1.0625E+06
0000175   2.2855E+07  2.8520E+05 -3.9763E+05
0000176   2.2781E+07 -3.0004E+05  8.6839E+05
0000177   2.2482E+07 -9.0468E+05  5.5791E+05
0000178   2.3253E+07 -2.7077E+05 -2.3712E+05
0000179   2.2366E+07  1.5113E+05  1.6915E+05
0000180   2.2745E+07 -3.6255E+05  3.6158E+05
0000181   2.2577E+07  1.0143E+05 -8.1682E+04
0000182   2.1629E+07  3.7300E+04  2.1107E+06
0000183   2.2490E+07 -1.7147E+05  1.5566E+04
0000184   2.3162E+07  3.3074E+05  8.7088E+04
0000185   2.2343E+07  6.2410E+05  1.2507E+06
0000186   2.2177E+07 -2.1318E+05 -5.1546E+05
0000187   2.1990E+07  9.0650E+05 -7.2968E+05
0000188   2.2350E+07 -1.2549E+06  1.7701E+05
0000189   2.2677E+07  6.7485E+05 -2.5746E+05
0000190   2.2778E+07 -2.5806E+05 -2.9848E+05
0000191   2.2920E+07  8.4785E+04 -2.1353E+05
0000192   2.2658E+07  6.9980E+05 -2.2939E+05
0000193   2.2360E+07  1.1342E+06  4.4615E+05
0000194   2.2982E+07  1.5509E+06 -1.4156E+06
0000195   2.2990E+07  3.3373E+05  1.9985E+06
0000196   2.2677E+07  9.8555E+05  6.3871E+04
0000197   2.2700E+07 -8.0881E+05  1.5907E+06
0000198   2.2838E+07  9.4609E+05  8.1605E+05
0000199   2.2950E+07  6.8860E+04 -1.4097E+05
0000200   2.2422E+07 -9.1507E+05  1.7268E+05
0000201   2.2244E+07 -1.7588E+05  2.4034E+05
0000202   2.2665E+07  3.6790E+05 -4.7531E+05
0000203   2.2233E+07 -3.7206E+05  1.5197E+05
0000204   2.2036E+07 -4.1761E+05  5.0231E+05
