============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 7689640.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.9829E+07 -4.1016E+05  1.5595E+05
0000002   1.9611E+07 -2.9868E+05 -1.0547E+05
0000003   1.9883E+07  3.9409E+05 -2.4555E+05
0000004   1.9882E+07 -3.1210E+05 -1.5705E+05
0000005   1.9790E+07  4.2868E+04 -3.6663E+05
0000006   1.9967E+07 -5.0244E+04  2.0196E+05
0000007   1.9509E+07 -1.8725E+05 -5.2078E+04
0000008   1.9629E+07 -2.2871E+05  6.5039E+04
0000009   1.9779E+07 -1.1622E+05  2.9867E+05
0000010   1.9702E+07  1.1977E+05  1.9814E+05
0000011   1.9616E+07 -3.1897E+05 -2.6194E+03
0000012   1.9938E+07  2.1671E+05  1.7479E+05
0000013   1.9723E+07  4.5096E+04  2.1691E+05
0000014   1.9900E+07  4.3100E+05 -9.0657E+04
0000015   1.9790E+07 -2.2841E+05  9.7405E+02
0000016   1.9625E+07  3.3112E+05 -7.5217E+04
0000017   1.9731E+07 -4.8087E+05  4.1628E+05
0000018   1.9715E+07  1.9752E+05  2.5139E+05
0000019   1.9920E+07 -4.4658E+05  2.4101E+05
0000020   1.9632E+07 -1.0161E+05  3.8075E+05
0000021   1.9862E+07 -1.8907E+04  1.7585E+05
0000022   1.9566E+07  7.3818E+05 -8.4783E+04
0000023   1.9934E+07  5.5014E+05 -2.1104E+05
0000024   1.9734E+07 -5.2452E+04 -8.9066E+05
0000025   1.9629E+07 -2.3837E+05  3.4219E+05
0000026   1.9755E+07 -5.9085E+03  2.8549E+05
0000027   1.9769E+07 -2.3597E+05 -1.1588E+05
0000028   1.9828E+07  2.5058E+05 -3.1762E+05
0000029   1.9942E+07 -2.5600E+05 -1.6661E+04
0000030   1.9886E+07  4.0911E+05  2.3780E+05
0000031   1.9890E+07  6.5191E+05  3.1852E+05
0000032   1.9605E+07 -2.5349E+05  7.3980E+05
0000033   1.9946E+07  2.6862E+05  1.1864E+05
0000034   1.9464E+07 -3.6440E+05  7.8668E+05
0000035   1.9816E+07 -2.2736E+05 -1.9625E+05
0000036   1.9606E+07 -2.6449E+05  1.7402E+05
0000037   1.8834E+07  3.9418E+06  5.1945E+05
0000038   1.9620E+07 -9.7582E+04 -1.5732E+05
0000039   1.9627E+07 -1.5028E+05 -2.6929E+04
0000040   1.9684E+07 -1.2846E+05  5.8294E+05
0000041   1.9610E+07  7.1920E+05  5.8684E+04
0000042   1.9724E+07  2.5643E+05  1.9240E+05
0000043   1.9802E+07  2.6688E+05 -6.7346E+04
0000044   1.9835E+07  1.8524E+05  3.4313E+05
0000045   1.9703E+07  3.8991E+04 -2.0399E+05
0000046   1.9649E+07  2.3427E+05 -9.2540E+05
0000047   1.9719E+07  1.0169E+05  1.6702E+05
0000048   1.9688E+07 -4.2536E+05  3.0711E+05
0000049   1.9827E+07 -2.5333E+05 -2.1896E+05
0000050   1.9712E+07 -8.4454E+04 -1.3052E+05
0000051   1.9716E+07 -6.4497E+04  4.6164E+04
0000052   1.9626E+07  1.0419E+05  2.0160E+05
0000053   1.9574E+07 -2.8559E+05  1.4646E+05
0000054   1.9574E+07  2.0577E+05  2.0572E+05
0000055   1.9714E+07  2.4447E+05 -4.9198E+03
0000056   2.0067E+07 -2.8237E+05  2.2395E+05
0000057   1.9659E+07 -1.3075E+05 -3.2302E+05
0000058   1.9861E+07  2.6377E+05  7.0961E+04
0000059   1.9748E+07  1.9373E+05 -4.0313E+05
0000060   1.9969E+07 -2.2642E+05 -1.7149E+05
0000061   1.9768E+07 -3.2505E+05  1.2521E+05
0000062   1.9878E+07 -1.1334E+04  1.6957E+05
0000063   1.9867E+07  5.9514E+05  3.4004E+05
0000064   1.9869E+07  1.3577E+05 -1.0178E+06
0000065   1.9541E+07  3.4058E+05 -5.2197E+03
0000066   1.9820E+07  2.9002E+04  3.3502E+04
0000067   1.9588E+07 -4.5648E+05  2.7682E+05
0000068   1.9896E+07 -9.9002E+04  9.4164E+04
0000069   1.9775E+07  6.3552E+05 -8.8293E+05
0000070   1.9833E+07 -5.1395E+05 -3.2624E+05
0000071   1.9867E+07  2.7598E+05  1.8523E+05
0000072   1.9607E+07  4.0152E+04 -3.4946E+04
0000073   1.9675E+07  5.1760E+04  1.2292E+05
0000074   1.9717E+07 -3.4061E+04  7.6254E+04
0000075   1.9762E+07  5.6313E+05 -3.1620E+05
0000076   1.9846E+07  2.0592E+05 -6.4672E+04
0000077   1.9754E+07  3.2682E+05 -4.3774E+05
0000078   1.9817E+07  2.0863E+05 -1.5346E+05
0000079   1.9930E+07 -4.8430E+05  3.4884E+05
0000080   2.0059E+07  5.2628E+04 -2.9162E+05
0000081   1.9888E+07  2.4443E+05  2.4359E+05
0000082   1.9522E+07  4.5845E+05  2.3845E+05
0000083   1.9715E+07  1.5120E+05 -1.1670E+05
0000084   1.9825E+07 -7.9565E+04 -5.2448E+05
0000085   2.0056E+07  2.1888E+05 -1.9763E+04
0000086   1.9603E+07 -1.5866E+05 -3.1647E+05
0000087   1.9868E+07  6.8961E+04 -3.5203E+05
0000088   1.9600E+07  3.3379E+03  7.9593E+04
0000089   1.9747E+07  8.4598E+04  6.5135E+03
0000090   1.9668E+07  2.3311E+05  3.0661E+04
0000091   1.9776E+07 -1.5365E+05 -1.2004E+05
0000092   1.9648E+07  1.0730E+05  1.6054E+05
0000093   1.9769E+07 -6.3360E+04 -2.0636E+05
0000094   1.9726E+07  2.8272E+05  2.8601E+05
0000095   1.9601E+07  1.3129E+05  8.8706E+04
0000096   1.9774E+07 -7.8144E+04 -2.4798E+05
0000097   1.9742E+07  3.4952E+05  3.0047E+05
0000098   1.9696E+07 -6.0066E+04 -7.3912E+05
0000099   1.9714E+07 -1.9882E+05  1.8966E+05
0000100   1.9541E+07  2.2539E+05 -2.2909E+05
0000101   1.9771E+07 -1.5217E+05  4.0904E+05
0000102   1.9972E+07  1.5817E+04  9.1288E+04
0000103   1.9802E+07 -2.6287E+04 -1.4130E+05
0000104   1.9602E+07  3.5509E+05 -1.0411E+05
0000105   1.9924E+07 -3.9677E+05 -8.5594E+04
0000106   1.9761E+07 -5.2358E+04 -7.4459E+04
0000107   1.9712E+07 -1.8598E+05  3.1821E+05
