============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 3079584.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.1257E+07 -4.3556E+05 -1.1708E+06
0000002   1.1331E+07  9.3995E+05 -3.9938E+05
0000003   1.1055E+07 -8.7713E+04  6.5400E+04
0000004   1.1265E+07 -7.3785E+04  2.3992E+05
0000005   1.1204E+07 -5.2720E+05  3.6657E+05
0000006   1.0777E+07 -1.5227E+06 -7.9842E+05
0000007   1.1120E+07 -4.8611E+05 -1.8227E+05
0000008   1.1113E+07 -8.6824E+04  6.9581E+05
0000009   1.1047E+07 -1.4129E+06  1.2617E+06
0000010   1.0929E+07  1.1027E+06 -1.0690E+06
0000011   1.0996E+07  6.8730E+05  2.5319E+05
0000012   1.0545E+07 -2.8375E+05 -1.9187E+06
0000013   7.4285E+06  1.9001E+06  1.9581E+05
0000014   1.0804E+07 -7.3867E+05  1.1761E+06
0000015   1.1068E+07 -8.8560E+05  3.0365E+05
0000016   1.1445E+07 -1.2076E+06 -2.3223E+05
0000017   1.1133E+07 -3.6162E+05  1.1826E+06
0000018   1.0441E+07 -2.3831E+05  2.3248E+06
0000019   1.1205E+07 -4.4232E+05  9.8196E+04
0000020   1.0790E+07  3.8059E+05 -6.7593E+05
0000021   1.1024E+07  1.8009E+05 -8.0713E+05
0000022   1.0872E+07  1.3794E+06  7.5902E+05
0000023   1.0819E+07 -5.8352E+05 -7.4444E+04
0000024   1.0818E+07 -8.3165E+04 -6.9740E+05
0000025   1.0814E+07 -8.7857E+05 -5.3465E+05
0000026   1.1100E+07 -5.7272E+04  4.1426E+05
0000027   1.1252E+07 -4.6446E+04  2.7122E+05
0000028   1.0954E+07 -4.8778E+05  1.1746E+06
0000029   1.0962E+07  1.6748E+05  5.8456E+05
0000030   1.1198E+07 -1.1759E+06 -3.8760E+04
0000031   1.1214E+07 -5.7444E+05  1.4073E+05
0000032   1.1077E+07 -4.5226E+05 -1.7778E+06
0000033   1.0922E+07  1.0440E+06  8.7079E+05
0000034   1.1358E+07  7.0153E+05  1.9680E+05
0000035   1.0564E+07 -1.4860E+06 -1.9841E+06
0000036   1.1219E+07 -4.2629E+05  2.2047E+05
0000037   1.1053E+07  1.5904E+06 -5.1531E+05
0000038   1.1024E+07 -3.6604E+05  1.5968E+06
0000039   1.0882E+07 -3.4359E+05  3.7810E+04
0000040   1.0740E+07  1.1360E+06 -1.6763E+06
0000041   1.1034E+07 -6.2745E+04  1.2398E+06
0000042   1.1064E+07  6.2017E+05  3.3841E+04
0000043   1.1206E+07 -6.5690E+05 -9.2773E+05
0000044   1.1118E+07  4.3436E+05 -5.7295E+05
0000045   1.1054E+07  9.4577E+05 -6.7989E+05
0000046   1.0291E+07  2.2191E+06 -2.2529E+06
0000047   1.1283E+07  3.3106E+05 -1.0791E+06
0000048   1.1137E+07  1.2573E+06 -3.0158E+05
0000049   1.1381E+07  1.9544E+05  2.7718E+05
0000050   1.1272E+07 -1.0075E+06  4.2229E+05
0000051   1.0937E+07 -1.2842E+06  1.2681E+06
0000052   1.1104E+07 -7.1022E+05  1.0819E+05
0000053   1.0517E+07 -2.5760E+06 -3.3284E+05
0000054   1.1254E+07  1.3588E+05  4.8098E+04
0000055   1.0525E+07  2.1471E+06 -1.6934E+05
0000056   1.1337E+07  9.8307E+05  3.0779E+05
0000057   1.1275E+07 -2.9865E+05 -4.7384E+05
0000058   1.1021E+07 -3.2313E+05  7.1234E+05
0000059   1.1062E+07 -1.1865E+06  4.5227E+05
0000060   1.0909E+07  3.4933E+04 -1.5373E+06
0000061   1.1067E+07 -5.8086E+04 -8.1842E+05
0000062   1.0884E+07  1.6983E+06  4.7698E+05
0000063   1.0917E+07 -3.4481E+03  1.2447E+06
0000064   1.0857E+07 -1.9709E+05 -6.2625E+05
0000065   1.1045E+07 -1.4628E+06  6.4825E+05
0000066   1.0941E+07 -1.2826E+06  1.0934E+06
0000067   1.1233E+07 -9.9692E+04  6.5328E+05
0000068   1.0996E+07  4.3262E+05  1.4696E+06
0000069   1.0943E+07 -8.0409E+05  1.7961E+05
0000070   1.0778E+07  4.1719E+05  4.1710E+04
0000071   1.0867E+07 -1.5288E+04 -1.3395E+06
0000072   1.0516E+07 -1.9798E+05  2.3352E+06
0000073   1.1200E+07 -2.3110E+04 -1.9029E+06
0000074   1.0876E+07 -6.3478E+05 -5.7503E+05
0000075   1.1062E+07  6.4647E+05 -3.8700E+04
0000076   1.0545E+07  1.1594E+06  1.1967E+06
0000077   1.0802E+07 -1.3239E+05 -2.9951E+05
0000078   1.0721E+07 -1.4013E+06 -1.5420E+06
0000079   1.0950E+07  1.0506E+06 -5.2524E+05
0000080   1.0868E+07  5.3590E+05  2.8846E+05
0000081   1.1283E+07  2.7493E+05  6.8894E+05
0000082   1.0711E+07 -8.2440E+04  1.1855E+06
0000083   1.1309E+07  6.4104E+05 -3.4403E+05
0000084   1.0976E+07 -4.1475E+04  6.4626E+04
0000085   1.1129E+07  1.4340E+06 -8.2156E+05
0000086   1.0807E+07  2.0164E+05  1.5009E+06
0000087   1.0372E+07 -1.3831E+06  1.7097E+06
0000088   1.1016E+07  3.7197E+05 -2.6463E+04
0000089   1.1030E+07  1.0827E+06 -5.0284E+04
0000090   1.0626E+07  2.1646E+06  1.3617E+06
0000091   1.1249E+07  3.2407E+04 -5.3977E+05
0000092   1.0900E+07 -5.5413E+05  1.1248E+05
0000093   1.0735E+07  7.6078E+05  6.8189E+05
0000094   1.1105E+07 -5.9707E+05  1.1217E+05
0000095   1.0736E+07  1.1487E+06 -8.7325E+05
0000096   1.0636E+07 -4.5621E+05  6.0301E+05
0000097   1.0599E+07  2.3124E+05  2.3460E+06
0000098   1.1075E+07  2.9092E+04 -2.1664E+05
0000099   1.1017E+07 -1.4831E+05 -9.3245E+05
0000100   1.1108E+07  5.6523E+05 -8.4700E+05
0000101   1.0572E+07  1.3887E+06  1.7318E+06
0000102   1.1039E+07  3.7071E+05  7.7114E+05
0000103   1.0868E+07 -5.3351E+05 -5.3928E+04
0000104   1.1112E+07  2.9853E+05 -3.9451E+05
0000105   1.0699E+07 -3.1364E+05 -1.5546E+06
0000106   1.1158E+07 -1.3824E+06  8.4043E+05
