============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 4534065.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0048E+08 -3.9006E+05  2.8523E+06
0000002   9.9685E+07 -3.3551E+06  2.7578E+06
0000003   1.0218E+08  7.8967E+04  1.1600E+06
0000004   1.0355E+08  5.4559E+06 -1.1015E+06
0000005   1.0322E+08 -7.4911E+05  2.0565E+06
0000006   1.0191E+08 -2.1788E+06  4.6644E+06
0000007   1.0214E+08  4.4270E+06  3.1439E+06
0000008   1.0203E+08 -1.7917E+06  4.6928E+05
0000009   1.0410E+08  2.8542E+05  5.0882E+04
0000010   1.0212E+08  4.3743E+06  6.0796E+05
0000011   1.0325E+08  2.9912E+05  2.3787E+05
0000012   1.0530E+08  2.9772E+06  3.2719E+06
0000013   1.0314E+08 -1.4366E+06  2.2363E+05
0000014   1.0402E+08  2.6219E+06 -1.9250E+06
0000015   1.0140E+08 -9.0068E+05  2.6266E+06
0000016   1.0275E+08  5.1014E+06  2.8226E+06
0000017   1.0130E+08  2.7955E+06  1.8216E+05
0000018   1.0152E+08 -1.0168E+06 -1.5725E+06
0000019   1.0326E+08 -3.1414E+06 -1.1740E+06
0000020   1.0449E+08  3.3432E+05 -2.0682E+06
0000021   1.0143E+08  3.2815E+05 -4.9247E+06
0000022   1.0043E+08 -1.8483E+04  8.1850E+05
0000023   1.0278E+08  1.2616E+05 -1.4119E+06
0000024   1.0136E+08  1.4909E+06 -2.6485E+06
0000025   1.0230E+08  5.0379E+05 -1.0771E+06
0000026   1.0272E+08  3.4195E+06 -2.5756E+06
0000027   1.0132E+08 -3.6271E+06  5.1581E+06
0000028   1.0269E+08  2.1613E+06  3.7474E+06
0000029   1.0158E+08  9.6418E+05 -1.0118E+06
0000030   1.0306E+08 -5.4710E+06  3.6790E+06
0000031   1.0119E+08 -4.0630E+06 -1.9250E+06
0000032   1.0289E+08 -2.4183E+06  3.2738E+06
0000033   1.0159E+08 -2.0435E+06  4.2554E+06
0000034   1.0100E+08 -1.3052E+06 -1.3484E+06
0000035   1.0198E+08  1.8602E+06  4.5588E+06
0000036   1.0286E+08 -5.8764E+06  3.2719E+06
0000037   1.0482E+08 -1.9295E+06 -8.4401E+05
0000038   1.0215E+08  7.0270E+05 -1.0854E+05
0000039   1.0097E+08 -2.8835E+06  3.0231E+06
0000040   1.0279E+08 -2.5748E+06 -8.0360E+05
0000041   1.0395E+08  2.0656E+06  2.3416E+06
0000042   1.0368E+08  1.3059E+05  1.2562E+06
0000043   1.0287E+08  1.9127E+06 -4.1333E+06
0000044   1.0305E+08  3.8215E+06 -1.3903E+04
0000045   1.0200E+08 -2.7524E+06 -5.5266E+06
0000046   1.0259E+08 -2.4729E+05  3.7552E+06
0000047   1.0231E+08 -3.7288E+06 -2.5890E+06
0000048   1.0200E+08  8.9026E+05 -5.0511E+06
0000049   1.0106E+08 -3.9218E+06 -5.1273E+05
0000050   1.0114E+08 -4.9625E+06 -1.3503E+06
0000051   1.0123E+08 -3.1562E+05 -7.1183E+06
0000052   1.0103E+08 -3.2683E+06  3.2751E+06
0000053   1.0329E+08 -2.0286E+06  2.2093E+06
0000054   1.0186E+08 -3.4636E+06  2.0849E+05
0000055   1.0267E+08 -9.8214E+05 -6.2612E+05
0000056   1.0094E+08  3.0752E+06  5.6373E+06
0000057   1.0166E+08 -1.7191E+06 -2.6996E+05
0000058   1.0147E+08  1.1327E+07  7.6901E+06
0000059   1.0227E+08  2.9589E+06 -4.4180E+06
0000060   1.0116E+08 -1.0444E+04 -4.6574E+06
0000061   1.0165E+08  1.3744E+06  6.8095E+05
0000062   1.0158E+08 -9.9469E+05 -4.4137E+04
0000063   1.0158E+08 -1.5382E+05  3.3379E+06
0000064   1.0079E+08 -4.6881E+06  7.0206E+06
0000065   1.0077E+08  5.0753E+05  4.6933E+06
0000066   1.0510E+08  2.5727E+06 -1.7570E+06
0000067   1.0216E+08  2.9552E+06  2.9729E+06
0000068   1.0376E+08  5.0383E+04 -1.1001E+06
0000069   9.9215E+07  2.0325E+06 -4.5960E+04
0000070   1.0158E+08  3.0947E+06 -3.4976E+06
0000071   1.0044E+08 -3.8076E+06 -7.9442E+05
0000072   9.9552E+07 -7.8585E+05  6.0532E+06
0000073   1.0157E+08  1.4186E+05  2.1206E+06
0000074   1.0319E+08 -1.0734E+06  1.1400E+06
0000075   1.0164E+08  3.5855E+06 -3.7475E+06
0000076   1.0245E+08  5.5080E+04  4.1628E+06
0000077   1.0310E+08 -4.7346E+06  2.4493E+06
0000078   1.0085E+08  1.8524E+06 -8.1387E+05
0000079   1.0440E+08 -3.7336E+06  4.7419E+05
0000080   1.0306E+08 -7.9460E+06  3.7153E+06
0000081   1.0270E+08 -3.4975E+06  2.9679E+06
0000082   1.0224E+08  4.0454E+06  1.9483E+06
0000083   1.0322E+08 -5.1846E+06  4.4556E+05
0000084   9.9458E+07  1.6568E+06 -2.4536E+06
0000085   1.0440E+08 -5.8935E+06  4.1964E+06
0000086   1.0327E+08 -2.4903E+05 -1.6386E+06
0000087   1.0060E+08 -9.9548E+05  1.0764E+05
0000088   1.0238E+08  1.5647E+06  7.0451E+06
0000089   1.0257E+08 -9.6072E+06  2.2982E+06
0000090   9.9365E+07 -1.4673E+06  2.9072E+05
0000091   1.0325E+08 -3.3411E+06  1.2383E+06
0000092   1.0238E+08  3.3562E+06  4.7831E+06
0000093   1.0173E+08  4.4289E+06 -1.4524E+05
0000094   1.0284E+08 -2.1630E+06 -3.2250E+06
0000095   9.7830E+07  1.3454E+07 -1.4392E+07
0000096   1.0455E+08  1.1956E+06  2.0083E+06
0000097   1.0119E+08 -3.0192E+06 -4.5538E+05
0000098   1.0326E+08 -4.2545E+05 -2.4323E+06
0000099   1.0292E+08  1.5262E+06 -2.9933E+03
0000100   1.0217E+08 -2.8129E+06 -2.9886E+06
0000101   1.0010E+08  1.1447E+06 -7.6895E+06
0000102   1.0014E+08  4.2580E+06  1.9070E+06
0000103   1.0274E+08  1.9398E+06  3.6898E+06
0000104   1.0203E+08  6.0922E+06 -3.6394E+06
0000105   1.0208E+08 -1.8909E+06  8.2111E+05
0000106   1.0104E+08  1.5440E+06  2.3755E+06
