============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 3079584.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.2313E+07  9.1479E+05 -1.9510E+06
0000002   5.0371E+07 -2.4658E+06  3.4749E+06
0000003   5.1027E+07 -3.6479E+05 -1.4622E+06
0000004   5.0896E+07 -1.7774E+06  4.7847E+05
0000005   5.2316E+07  1.5795E+06 -2.7409E+06
0000006   5.1321E+07 -1.0691E+06 -1.8865E+06
0000007   5.0423E+07  6.7921E+05  3.4309E+05
0000008   5.1453E+07 -1.2383E+06  3.1720E+06
0000009   5.1412E+07 -1.9649E+05 -2.8548E+06
0000010   5.2115E+07  2.9214E+06 -9.5644E+05
0000011   5.0544E+07  1.2143E+06  2.1960E+05
0000012   5.2370E+07 -1.1998E+05 -1.7512E+05
0000013   5.2217E+07  1.8309E+05  6.2890E+05
0000014   5.0618E+07  9.7098E+05 -1.4542E+06
0000015   5.2055E+07 -8.2642E+05 -1.7275E+06
0000016   5.1266E+07 -4.1196E+06  5.1603E+05
0000017   5.0975E+07 -3.4107E+05 -7.0042E+05
0000018   5.0188E+07  3.7300E+06 -1.0956E+06
0000019   5.1711E+07  2.4268E+06  2.1066E+05
0000020   5.2404E+07  4.1933E+05 -1.7545E+06
0000021   5.2094E+07  1.2378E+06 -1.1506E+06
0000022   5.1033E+07  2.6699E+03  2.3598E+06
0000023   4.9960E+07 -3.6129E+05  1.6520E+05
0000024   5.1003E+07 -2.2653E+05 -1.0009E+06
0000025   5.0659E+07  3.2646E+06  7.2054E+05
0000026   5.0595E+07 -7.5326E+05 -3.3050E+05
0000027   5.2176E+07  3.1316E+06  7.2049E+05
0000028   5.1176E+07 -1.6688E+06  5.0441E+05
0000029   5.1381E+07  6.9233E+05  1.0770E+06
0000030   5.0819E+07  1.6406E+06 -4.6109E+05
0000031   5.1331E+07 -7.0723E+05 -1.4823E+05
0000032   5.0254E+07  1.0317E+06 -1.8031E+06
0000033   5.1671E+07  1.2389E+06 -1.0741E+06
0000034   5.1378E+07  1.2786E+06 -2.3957E+05
0000035   5.0628E+07  2.6643E+06 -1.2138E+06
0000036   5.1382E+07 -5.1762E+05  1.5726E+06
0000037   5.1295E+07  2.6312E+05  1.2617E+05
0000038   4.9567E+07 -1.6844E+06  2.3153E+05
0000039   5.2089E+07  4.2208E+05 -1.3690E+06
0000040   5.1586E+07  3.1429E+05  8.7550E+05
0000041   5.2390E+07 -7.1887E+05  8.7664E+05
0000042   5.1634E+07  1.0227E+06 -1.0028E+06
0000043   5.0741E+07  1.1612E+06  9.6797E+05
0000044   5.0661E+07  6.7592E+05 -1.8107E+06
0000045   5.2072E+07 -9.2548E+04  9.2718E+04
0000046   5.0706E+07 -1.7478E+06 -4.9945E+05
0000047   5.1577E+07 -2.9171E+05 -1.1594E+06
0000048   5.1882E+07  1.0198E+06 -1.8093E+06
0000049   5.3642E+07  2.8083E+05  1.0932E+06
0000050   5.1492E+07 -1.0776E+06  1.0998E+05
0000051   5.0528E+07 -2.7476E+06  9.6005E+05
0000052   5.0690E+07  6.8730E+05 -1.0751E+06
0000053   5.2333E+07  2.6562E+06  1.1561E+06
0000054   5.1984E+07 -1.8116E+06 -2.9329E+06
0000055   5.1513E+07  1.2497E+05  6.3375E+05
0000056   5.2744E+07 -1.2195E+06 -4.4047E+05
0000057   5.0725E+07  1.4151E+06  7.2950E+05
0000058   5.0650E+07  4.7196E+05  7.7466E+05
0000059   5.1725E+07  1.1082E+06  1.2528E+06
0000060   5.0881E+07  6.0625E+05 -4.3672E+05
0000061   5.1236E+07  5.1147E+05  1.7180E+06
0000062   5.3176E+07 -5.3234E+04 -1.8746E+05
0000063   5.0883E+07 -2.6378E+05 -5.4736E+05
0000064   5.1173E+07 -5.2376E+05  1.0542E+06
0000065   5.1537E+07 -3.3611E+05 -3.1322E+06
0000066   5.1535E+07 -1.6020E+06 -1.5387E+06
0000067   5.2087E+07  2.2100E+05 -2.3305E+05
0000068   5.1337E+07 -3.2643E+05  5.1153E+05
0000069   5.2219E+07  3.9314E+05 -1.3539E+06
0000070   5.2330E+07 -4.7952E+04 -9.1578E+05
0000071   5.1625E+07  2.3105E+06 -2.0981E+06
0000072   5.0650E+07  2.7146E+06  2.3125E+06
0000073   5.1897E+07 -1.6346E+05 -7.4226E+05
0000074   5.1311E+07 -7.6627E+05 -1.4476E+05
0000075   5.0419E+07 -3.0193E+04  7.9962E+05
0000076   5.2355E+07 -1.3419E+06 -3.8786E+05
0000077   5.1984E+07  1.9867E+06  3.8247E+06
0000078   5.1501E+07  2.3065E+06 -4.0323E+06
0000079   5.1697E+07  4.4429E+04 -2.1130E+06
0000080   5.1776E+07 -1.5173E+06  1.2815E+05
0000081   5.0556E+07 -1.2506E+05  1.8928E+05
0000082   5.2704E+07  1.5161E+06  1.0407E+06
0000083   5.1652E+07 -3.5302E+06  4.5980E+05
0000084   5.1714E+07 -1.7886E+06 -7.2317E+05
0000085   5.1322E+07 -2.4444E+05  1.1052E+06
0000086   5.1083E+07 -2.6713E+06  1.6044E+05
0000087   5.2508E+07 -1.4340E+06 -8.4640E+05
0000088   5.2565E+07  1.7099E+06 -8.4326E+05
0000089   5.2332E+07 -2.7205E+06  1.3386E+06
0000090   5.1283E+07 -3.5820E+05  5.6931E+05
0000091   5.1128E+07 -1.0557E+06  1.4747E+06
0000092   5.1313E+07  6.6097E+05 -2.0284E+06
0000093   5.1942E+07  2.3435E+06 -2.2841E+05
0000094   5.0692E+07  7.5824E+04 -1.7460E+06
0000095   5.1729E+07 -1.5252E+05  8.9243E+05
0000096   5.0226E+07 -2.7429E+06 -7.9987E+05
0000097   5.1974E+07 -1.4718E+05  2.1188E+06
0000098   5.0827E+07  1.4286E+06 -2.6801E+06
0000099   5.1024E+07  7.4195E+05  1.0858E+06
0000100   5.1635E+07  1.2043E+06 -5.3626E+05
0000101   5.1714E+07  1.4625E+06  2.7450E+06
0000102   5.0445E+07 -4.7138E+05 -2.6533E+06
0000103   5.1082E+07 -1.5894E+05 -1.5133E+06
0000104   5.1107E+07 -2.7469E+05  1.4698E+06
0000105   5.0263E+07 -7.8341E+05 -1.9037E+06
0000106   5.1764E+07  6.4663E+05 -3.5152E+06
