============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 4730630.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.7439E+06 -8.5926E+03 -1.6404E+04
0000002   1.7565E+06 -1.6394E+04  3.9434E+03
0000003   1.7073E+06 -7.0036E+04 -1.4290E+04
0000004   1.7073E+06  3.8212E+04  2.7700E+04
0000005   1.7137E+06 -7.8607E+04 -5.0084E+04
0000006   1.6863E+06  8.6184E+04  1.1556E+05
0000007   1.7140E+06 -4.9596E+04  6.1724E+03
0000008   1.7802E+06  1.4164E+04  2.6928E+03
0000009   1.7556E+06 -3.3276E+04  5.8029E+04
0000010   1.7879E+06  3.3378E+04  1.8778E+04
0000011   1.7532E+06 -1.0709E+05 -1.3940E+03
0000012   1.7642E+06  4.4581E+04  3.0724E+04
0000013   1.7593E+06 -5.0316E+04  3.8859E+04
0000014   1.7265E+06 -8.1866E+04 -3.1977E+04
0000015   1.7533E+06 -7.2681E+04  1.6706E+04
0000016   1.7865E+06  2.7599E+03  2.5474E+04
0000017   1.7287E+06 -6.6495E+04  7.3566E+03
0000018   1.7418E+06 -2.1543E+04 -8.1481E+04
0000019   1.7223E+06  7.2377E+04  8.7371E+04
0000020   1.7556E+06  8.3746E+04  2.5728E+04
0000021   1.7312E+06 -4.0263E+04  1.6234E+04
0000022   1.7770E+06 -8.5136E+04 -8.2571E+04
0000023   1.7243E+06  3.5563E+04 -1.0130E+04
0000024   1.7301E+06  1.5818E+04 -6.1588E+04
0000025   1.7198E+06  2.2562E+04 -5.4115E+04
0000026   1.7854E+06 -2.3795E+04 -4.1004E+04
0000027   1.7698E+06 -1.2717E+04 -7.4541E+04
0000028   1.7349E+06 -4.9967E+04  4.5021E+03
0000029   1.7551E+06 -3.7360E+04 -1.9326E+04
0000030   1.7207E+06  2.1006E+04  1.6721E+05
0000031   1.7805E+06 -5.8323E+04 -2.5838E+04
0000032   1.7594E+06 -2.0758E+04  9.4856E+04
0000033   1.7844E+06 -1.2292E+05 -1.4389E+05
0000034   1.7534E+06 -2.5164E+03 -4.2034E+04
0000035   1.7289E+06  6.9908E+04 -1.0050E+04
0000036   1.7369E+06 -5.3279E+04  8.1830E+03
0000037   1.7631E+06  1.6378E+04 -5.3046E+04
0000038   1.7425E+06  3.6957E+04  3.2194E+03
0000039   1.7383E+06  5.2701E+04  3.9820E+04
0000040   1.7859E+06 -4.6642E+04 -1.1213E+04
0000041   1.7398E+06 -1.5772E+03  4.1709E+04
0000042   1.7257E+06  1.9822E+04 -6.1705E+03
0000043   1.7364E+06 -8.6330E+04  3.9577E+04
0000044   1.7656E+06  7.6564E+04  6.0619E+03
0000045   1.4482E+06  5.4812E+04  6.8434E+04
0000046   1.7385E+06 -6.7624E+04 -2.0176E+04
0000047   1.7471E+06  1.3378E+04  7.7554E+04
0000048   1.7278E+06  7.8470E+04 -4.9799E+04
0000049   1.7480E+06  8.9194E+04  9.8519E+04
0000050   1.7386E+06  1.4231E+04 -2.4457E+04
0000051   1.6833E+06 -2.9810E+04  4.5992E+04
0000052   1.7521E+06  6.5948E+03 -1.1363E+05
0000053   1.7317E+06 -3.2917E+03 -2.0815E+04
0000054   1.7669E+06 -1.0026E+05 -1.7946E+04
0000055   1.7123E+06  4.9005E+04  9.9753E+03
0000056   1.7783E+06  4.8622E+03 -2.5564E+04
0000057   1.7519E+06  3.2162E+04  1.1285E+03
0000058   1.7033E+06  8.7508E+03 -2.7456E+03
0000059   1.7678E+06  4.0947E+04  3.5972E+04
0000060   1.6856E+06 -5.5716E+04  9.3127E+03
0000061   1.7364E+06 -5.9251E+03  5.7605E+04
0000062   1.7224E+06  6.9990E+04  8.9071E+03
0000063   1.6828E+06 -6.4350E+04 -1.5339E+05
0000064   1.6931E+06  1.2013E+05  5.8543E+04
0000065   1.7547E+06  3.2069E+04  5.2417E+04
0000066   1.7468E+06 -3.9326E+04  1.0965E+05
0000067   1.7742E+06 -5.6901E+04  6.8329E+04
0000068   1.7553E+06 -7.4461E+04 -6.1404E+04
0000069   1.7774E+06 -1.6314E+04  1.2910E+04
0000070   1.7029E+06  3.4917E+04 -1.0017E+05
0000071   1.6979E+06 -1.8311E+04 -2.6298E+04
0000072   1.7582E+06  2.2399E+04  8.0987E+03
0000073   1.7703E+06  4.4390E+04 -1.5631E+04
0000074   1.7569E+06 -5.9297E+04 -4.4053E+03
0000075   1.7419E+06  2.2896E+04 -1.5414E+04
0000076   1.7547E+06 -1.4131E+04  4.3902E+03
0000077   1.7443E+06  4.6417E+04  7.0423E+04
0000078   1.7400E+06 -1.7584E+03  9.6748E+04
0000079   1.7425E+06 -2.9939E+04  1.3775E+04
0000080   1.7420E+06 -7.5791E+03  6.0141E+03
0000081   1.7155E+06  2.2970E+04  7.7693E+04
0000082   1.7877E+06 -2.2615E+04 -7.1722E+04
0000083   1.7256E+06 -4.8052E+04 -1.7617E+04
0000084   1.7722E+06 -4.2034E+04 -1.8889E+04
0000085   1.7412E+06  5.8956E+04  2.0708E+05
0000086   1.7239E+06 -6.5522E+04  7.5202E+04
0000087   1.7007E+06 -2.6970E+04  1.0134E+04
0000088   1.7452E+06  6.2929E+04  3.0335E+04
0000089   1.7226E+06 -5.1757E+03  6.0130E+04
0000090   1.7441E+06  2.0246E+05 -8.9496E+04
0000091   1.7434E+06  5.3180E+04 -6.1535E+04
0000092   1.7627E+06  4.2981E+04 -9.7653E+03
0000093   1.7128E+06 -6.4037E+04  6.0562E+04
0000094   1.7434E+06 -5.9858E+03  3.8742E+04
0000095   1.7455E+06  1.7751E+05 -1.0456E+05
0000096   1.6935E+06 -1.5109E+04  8.3297E+03
0000097   1.7469E+06  1.2827E+04  4.8177E+04
0000098   1.7554E+06 -2.3277E+04 -3.8368E+04
0000099   1.7507E+06  7.9068E+04 -4.0324E+03
0000100   1.7345E+06  1.6743E+04  4.9483E+03
0000101   1.7577E+06  1.0435E+04 -4.3443E+04
0000102   1.7290E+06  3.6480E+04  1.9128E+04
0000103   1.7172E+06 -5.9120E+04  1.6099E+04
0000104   1.6994E+06  4.3043E+02  2.4351E+04
0000105   1.7492E+06 -3.4006E+03 -5.5658E+04
0000106   1.7212E+06  5.5948E+03 -6.0638E+04
