============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1222974.E-01 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   1.0878E+07  2.1223E+05  3.0857E+05
0000002   1.1078E+07  5.4774E+05  1.2109E+05
0000003   1.1031E+07 -1.0688E+06  2.3927E+05
0000004   1.0927E+07  6.9418E+05  2.9640E+05
0000005   9.9354E+06 -1.3689E+06  2.2220E+06
0000006   1.0966E+07  1.4734E+05 -4.1158E+05
0000007   1.0922E+07  7.8410E+05 -8.1842E+04
0000008   1.0816E+07  4.4652E+05  3.6724E+05
0000009   1.0955E+07 -1.3065E+04 -3.3087E+05
0000010   1.1006E+07  1.5456E+05 -5.7734E+04
0000011   1.0993E+07 -3.3376E+04 -2.2184E+05
0000012   1.1036E+07  1.0144E+05 -3.4337E+05
0000013   1.1029E+07 -4.0236E+05  2.2988E+05
0000014   1.0855E+07  3.5334E+04  3.7136E+05
0000015   1.0902E+07  5.4715E+05 -1.0258E+06
0000016   1.0932E+07 -7.5541E+04  5.3465E+04
0000017   1.1026E+07  1.2303E+05  7.0697E+05
0000018   1.0768E+07 -7.1555E+05 -5.9326E+05
0000019   1.0903E+07  1.4213E+05  2.6126E+05
0000020   1.0964E+07  1.2963E+05 -1.2173E+05
0000021   1.0923E+07 -3.0022E+04  5.2779E+04
0000022   1.0794E+07  3.9582E+05 -1.0687E+06
0000023   1.1003E+07 -6.3139E+05 -7.5066E+05
0000024   1.1034E+07 -2.6645E+05 -3.3773E+05
0000025   1.0822E+07  2.2771E+05  6.9868E+05
0000026   1.1098E+07  3.1755E+05  2.0581E+05
0000027   1.1056E+07 -1.4223E+04 -2.4256E+05
0000028   1.0870E+07 -7.7822E+04  5.9349E+05
0000029   1.0758E+07  4.4836E+05  3.0122E+05
0000030   1.1073E+07 -8.6725E+04 -3.2019E+05
0000031   1.0939E+07 -2.6679E+04 -2.9558E+05
0000032   1.1046E+07 -5.0551E+05 -1.3237E+05
0000033   1.0934E+07 -5.1624E+05 -1.9120E+05
0000034   1.0483E+07  7.3155E+05 -1.2343E+06
0000035   1.0920E+07  3.8122E+04 -4.7697E+05
0000036   1.1061E+07 -5.0682E+05  5.2772E+05
0000037   1.0776E+07 -3.8471E+04 -2.8184E+05
0000038   1.0890E+07 -6.1848E+05  3.7818E+05
0000039   1.1013E+07  3.0415E+03  7.1089E+05
0000040   1.0983E+07 -1.1320E+06 -1.6139E+05
0000041   1.0609E+07  8.1470E+05  2.1475E+06
0000042   1.0861E+07  7.1416E+04  3.3416E+05
0000043   1.1018E+07 -3.5085E+05 -4.0906E+05
0000044   1.0896E+07 -8.5866E+04 -6.2648E+05
0000045   1.0682E+07  3.9633E+05  1.6903E+06
0000046   1.0849E+07 -2.2162E+05  6.7422E+05
0000047   1.0896E+07  5.2961E+05  6.7764E+05
0000048   1.0899E+07  4.0185E+04  6.9041E+05
0000049   1.0835E+07 -8.7013E+05 -5.2261E+05
0000050   1.1026E+07 -2.7102E+05 -1.0234E+02
0000051   1.1013E+07 -4.4651E+05  7.2367E+05
0000052   1.1006E+07 -3.6752E+04  1.7475E+05
0000053   1.0942E+07 -6.8067E+05  2.7588E+05
0000054   1.0814E+07  1.1563E+06 -4.1414E+05
0000055   1.0887E+07 -6.6120E+05 -4.0494E+05
0000056   1.0820E+07  1.2137E+06 -1.4247E+05
0000057   1.0858E+07  8.9405E+05 -1.1779E+05
0000058   1.0917E+07 -8.2957E+04 -3.5398E+05
0000059   1.0735E+07 -1.1667E+06  1.3176E+06
0000060   1.1051E+07  1.3289E+05 -2.9707E+05
0000061   1.0732E+07 -1.2239E+06 -1.3782E+05
0000062   1.0855E+07  9.7279E+05 -3.1060E+05
0000063   1.1096E+07  4.1368E+05 -2.2241E+05
0000064   1.0910E+07 -7.0324E+04  4.9626E+05
0000065   1.0872E+07 -8.6513E+05  1.0864E+05
0000066   1.0985E+07 -8.4513E+04  1.2633E+05
0000067   1.0139E+07 -1.7468E+06 -4.0430E+05
0000068   1.0845E+07 -1.9351E+05  3.6933E+05
0000069   1.0992E+07 -4.2710E+05  5.6160E+03
0000070   1.1012E+07  4.2524E+04  1.1442E+05
0000071   1.1063E+07 -4.7683E+05  3.8931E+05
0000072   1.0860E+07 -4.7849E+05 -1.4210E+05
0000073   1.0989E+07  5.0042E+05 -8.2422E+03
0000074   1.0838E+07 -1.4871E+05 -1.3637E+05
0000075   1.0877E+07 -1.9163E+05 -3.9369E+05
0000076   1.1102E+07 -1.6201E+05  6.6072E+04
0000077   1.1132E+07  2.4318E+05  4.8668E+05
0000078   1.1117E+07  4.5668E+05  5.9774E+05
0000079   1.0861E+07 -7.3279E+05  7.1936E+05
0000080   1.1021E+07  3.8818E+05  6.1012E+05
0000081   1.0784E+07 -2.5507E+05  2.7053E+05
0000082   1.0911E+07 -4.5511E+05  2.6642E+05
0000083   1.0892E+07  6.0031E+05 -4.1710E+04
0000084   1.0974E+07  6.5876E+05 -2.4071E+05
0000085   1.0919E+07 -8.2151E+02 -1.3462E+05
0000086   1.1002E+07  7.9379E+04  4.7148E+05
0000087   1.0979E+07  5.8660E+05  7.4426E+05
0000088   1.0959E+07  4.2266E+05  6.5780E+05
0000089   1.1107E+07 -9.8910E+05  1.0888E+05
0000090   1.0982E+07  1.5593E+05  2.7978E+05
0000091   1.0951E+07  1.4093E+05  4.4212E+04
0000092   1.1077E+07 -2.3066E+05 -3.0851E+05
0000093   1.0371E+07  8.8976E+05 -1.7494E+06
0000094   1.0321E+07  1.8761E+06  1.9516E+05
0000095   1.0698E+07  1.5917E+06  9.8492E+05
0000096   1.0856E+07  6.0153E+05 -6.1491E+05
0000097   1.1058E+07  5.4086E+05  9.7937E+05
0000098   1.1118E+07 -1.5376E+05 -8.8096E+05
0000099   1.0723E+07  1.5770E+05 -4.2770E+05
0000100   1.0897E+07 -9.1596E+04  1.0828E+06
0000101   1.1028E+07  6.6528E+05 -5.5334E+05
0000102   1.0975E+07  2.8461E+03  3.4322E+05
0000103   1.0864E+07  6.2571E+04  7.3251E+04
0000104   1.1054E+07  6.4639E+05  5.8658E+04
0000105   1.1001E+07 -6.0886E+05 -4.9661E+05
0000106   1.0765E+07  3.8788E+05  9.7145E+04
0000107   1.0961E+07  1.1428E+05 -2.5714E+05
