============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1936337.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.9748E+06  1.8369E+05 -7.4180E+05
0000002   5.1406E+06  6.6970E+05 -2.1091E+05
0000003   5.0172E+06 -1.7714E+05  1.5797E+04
0000004   5.0785E+06 -1.0850E+05 -6.7314E+05
0000005   5.0095E+06 -4.4416E+05  2.0051E+05
0000006   4.9865E+06  7.0542E+04  1.6976E+05
0000007   4.9726E+06 -4.7031E+05 -3.9648E+05
0000008   5.1009E+06  2.1520E+05  6.8203E+04
0000009   5.2124E+06 -3.6717E+05  8.6978E+04
0000010   5.0227E+06 -1.3794E+05  6.6473E+05
0000011   5.0883E+06  2.2775E+05 -4.9311E+05
0000012   5.1432E+06  2.1100E+05 -1.4017E+05
0000013   5.1320E+06  2.8617E+05  4.5412E+05
0000014   5.0812E+06 -5.0679E+05  2.3466E+05
0000015   5.0505E+06 -7.6876E+05  6.5767E+05
0000016   5.1016E+06 -2.4652E+05 -4.6425E+05
0000017   5.1941E+06 -2.0780E+05  9.3494E+04
0000018   5.1600E+06  4.4027E+05  4.0975E+05
0000019   5.1901E+06 -2.1276E+05  2.1973E+05
0000020   3.9318E+06 -1.4627E+06  2.0637E+06
0000021   5.1266E+06  2.1053E+05 -8.4976E+04
0000022   4.8847E+06 -5.2012E+05  1.6448E+05
0000023   5.1010E+06  8.4624E+04  4.4260E+05
0000024   5.1770E+06  1.3834E+05  3.6655E+05
0000025   5.0950E+06 -5.1131E+04  2.0839E+03
0000026   5.1078E+06 -1.2295E+05 -1.1991E+04
0000027   4.9802E+06 -4.2042E+05 -5.4414E+05
0000028   5.1694E+06  1.4461E+05 -5.8578E+05
0000029   5.0686E+06  5.3649E+05 -1.8657E+05
0000030   4.8624E+06 -8.9962E+05 -5.2953E+05
0000031   4.9757E+06 -7.5736E+04  2.7713E+05
0000032   5.0841E+06 -1.8374E+04  1.5279E+05
0000033   5.1927E+06 -3.4479E+05  4.4909E+05
0000034   4.9815E+06 -8.4974E+04 -9.6679E+05
0000035   4.9141E+06 -2.3953E+05 -3.6243E+05
0000036   5.0339E+06 -4.6625E+05  4.9361E+05
0000037   5.0203E+06  1.6339E+04 -7.5751E+05
0000038   5.0835E+06  1.9003E+05  3.0169E+05
0000039   5.0022E+06 -2.1509E+05 -7.2526E+05
0000040   5.0752E+06  3.9298E+05 -2.7398E+05
0000041   5.1597E+06 -6.1159E+05 -2.3155E+05
0000042   5.1855E+06 -4.5787E+05  2.9392E+03
0000043   4.9527E+06  8.4981E+05  3.5426E+05
0000044   5.1005E+06 -1.2291E+05  3.2269E+05
0000045   5.0250E+06  6.4214E+05 -9.1670E+04
0000046   5.1162E+06 -2.2511E+05  3.5702E+05
0000047   5.0001E+06 -8.9189E+04  1.7856E+05
0000048   5.0241E+06  1.5755E+05  1.1281E+05
0000049   4.9309E+06 -4.6214E+04  7.6400E+05
0000050   5.2500E+06 -1.3696E+02  1.4337E+05
0000051   5.0289E+06  1.2555E+05  1.4961E+05
0000052   5.0013E+06  4.3002E+05 -3.5814E+05
0000053   5.1718E+06  1.2980E+04  6.1314E+05
0000054   5.2122E+06 -2.4732E+03  6.0450E+04
0000055   5.0780E+06 -1.5176E+05 -6.2748E+05
0000056   4.8549E+06 -5.8725E+05 -5.8811E+05
0000057   4.9959E+06 -5.0535E+05  1.6378E+05
0000058   5.2094E+06 -2.4055E+05 -6.0100E+05
0000059   4.9600E+06  3.0824E+05 -6.8537E+05
0000060   5.2070E+06  3.4398E+04  3.0929E+05
0000061   5.0196E+06  2.6592E+05 -2.1265E+05
0000062   5.0609E+06  4.4710E+05  1.0305E+05
0000063   4.9202E+06 -3.1467E+05  4.9945E+05
0000064   4.9640E+06 -4.0232E+05  1.2021E+06
0000065   4.8837E+06 -1.1227E+06  7.1924E+05
0000066   5.3356E+06  4.7028E+05 -2.3722E+05
0000067   5.1930E+06 -1.8438E+05 -1.2102E+05
0000068   4.5812E+06  4.1017E+04  2.9399E+05
0000069   4.9220E+06 -1.0236E+06 -6.1318E+05
0000070   5.1204E+06  1.3549E+05 -5.1174E+05
0000071   4.9406E+06 -1.0362E+06 -1.5052E+05
0000072   4.9929E+06 -5.0730E+05 -2.2293E+05
0000073   5.0526E+06 -1.1015E+05  2.2229E+05
0000074   5.1544E+06  1.0559E+05 -1.3544E+04
0000075   5.0855E+06 -7.2605E+05  6.0167E+05
0000076   5.2934E+06 -2.0762E+05 -5.1325E+05
0000077   5.0205E+06  1.6975E+04  8.9727E+04
0000078   5.1054E+06 -7.5739E+03  2.9155E+05
0000079   5.0582E+06  4.3466E+05 -9.0655E+05
0000080   5.1700E+06 -5.5759E+05 -3.2338E+05
0000081   5.0177E+06  6.3843E+05  1.3073E+05
0000082   5.0193E+06 -4.3259E+05 -2.4892E+04
0000083   5.0314E+06 -4.0612E+05 -3.3050E+05
0000084   5.0408E+06 -4.7747E+05  2.2058E+04
0000085   5.0490E+06  2.1782E+05 -1.8686E+05
0000086   5.1502E+06  7.1234E+04  7.5463E+05
0000087   4.9642E+06  8.0554E+05  2.2080E+05
0000088   5.1895E+06  1.5751E+05 -6.4266E+05
0000089   5.1652E+06  1.5134E+05 -2.7757E+05
0000090   5.0506E+06  2.0207E+05  2.9566E+05
0000091   4.7972E+06  4.3414E+05 -1.4826E+06
0000092   5.0122E+06  1.3126E+05  4.7655E+05
0000093   4.9980E+06  3.3932E+05 -3.7166E+05
0000094   3.7095E+06 -1.4400E+06  1.2784E+06
0000095   4.9573E+06 -2.3444E+05  2.9344E+05
0000096   5.0607E+06 -5.2297E+04  5.1129E+05
0000097   5.0544E+06 -1.5671E+05  2.8502E+05
0000098   5.1935E+06  4.7793E+05  7.3545E+05
0000099   5.2455E+06 -7.7303E+04  2.4335E+04
0000100   5.1048E+06 -5.7330E+05  4.7551E+05
0000101   5.0018E+06 -2.3167E+05  3.8724E+05
0000102   5.0618E+06  3.4062E+05  2.3946E+05
0000103   4.8185E+06 -1.3708E+06  2.5791E+05
0000104   5.1393E+06 -5.3988E+05 -5.9348E+04
0000105   5.0971E+06 -7.8161E+03 -3.6527E+05
0000106   5.0865E+06 -9.6262E+05 -5.3664E+05
