============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 4267367.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   6.9542E+06 -3.8431E+04 -1.1052E+05
0000002   6.9206E+06 -1.6646E+05 -8.4718E+04
0000003   7.0070E+06  4.9912E+04 -1.7875E+04
0000004   6.9818E+06 -4.6470E+04  1.8735E+05
0000005   6.9558E+06  2.3922E+05 -1.7834E+05
0000006   7.0186E+06 -1.0151E+05  2.0081E+05
0000007   6.9844E+06  7.7428E+04  2.0171E+05
0000008   7.0546E+06 -8.0934E+04 -1.3431E+05
0000009   7.0894E+06  4.7464E+01  6.1370E+03
0000010   7.0116E+06  1.9897E+05 -6.6900E+04
0000011   6.9610E+06  1.8837E+04 -3.4438E+04
0000012   6.9613E+06 -3.1340E+04 -5.1123E+04
0000013   7.0663E+06  4.4580E+04 -7.0338E+03
0000014   7.0759E+06  1.1371E+05 -4.4046E+04
0000015   7.0391E+06  6.4757E+02  1.2249E+05
0000016   7.0038E+06 -1.6740E+05 -1.0762E+05
0000017   6.9902E+06 -3.4923E+04  8.9984E+03
0000018   6.9704E+06  3.1955E+04  7.7609E+04
0000019   7.0168E+06 -1.2640E+05 -4.6408E+04
0000020   6.9747E+06  1.0034E+05 -7.1088E+03
0000021   7.0181E+06 -1.3251E+04 -1.9564E+04
0000022   7.0971E+06 -2.8999E+04 -1.6726E+04
0000023   7.0372E+06  4.3298E+04 -1.1533E+05
0000024   7.0361E+06  8.9584E+04 -2.5258E+04
0000025   7.0752E+06  1.1690E+05 -1.9523E+04
0000026   6.9366E+06 -2.7241E+05 -4.3813E+04
0000027   7.0004E+06  3.3241E+03  2.6120E+04
0000028   7.0464E+06  8.1096E+04 -2.0223E+05
0000029   6.9331E+06  4.2948E+04  1.2752E+05
0000030   6.9704E+06  1.0012E+05 -4.4617E+05
0000031   7.0054E+06 -8.8781E+03 -2.9620E+04
0000032   7.0336E+06 -6.3692E+04 -5.5031E+03
0000033   7.0788E+06 -2.3479E+04 -1.4874E+04
0000034   6.9810E+06  2.5330E+05 -3.0494E+05
0000035   7.0486E+06 -2.9048E+05 -4.8499E+04
0000036   7.1444E+06 -4.3430E+04 -4.9421E+04
0000037   7.0043E+06 -1.5540E+05 -1.5019E+05
0000038   7.0449E+06  1.2944E+05  1.9417E+05
0000039   7.0561E+06 -1.5974E+05  8.0668E+04
0000040   6.9874E+06  2.9598E+04  1.0008E+05
0000041   7.0361E+06  2.0104E+04 -7.0370E+04
0000042   6.9765E+06  3.6493E+05 -1.3182E+05
0000043   7.0242E+06 -4.4108E+04  7.8125E+04
0000044   6.9522E+06  1.3566E+04 -1.0576E+05
0000045   6.9758E+06  1.0507E+05  2.0772E+04
0000046   7.0314E+06  1.2992E+04 -1.6254E+04
0000047   6.9346E+06 -4.2864E+04 -2.2469E+04
0000048   6.9252E+06  1.0669E+05 -8.1351E+04
0000049   7.0540E+06 -1.8533E+04 -1.2788E+05
0000050   7.0934E+06  1.2754E+04  3.1016E+04
0000051   7.0249E+06  1.5816E+05 -1.9168E+04
0000052   7.0431E+06  7.1983E+04 -1.6227E+05
0000053   7.0455E+06  3.0489E+05  2.6054E+05
0000054   7.0206E+06 -3.1019E+04 -1.4258E+04
0000055   6.9795E+06  1.8211E+04 -4.0992E+04
0000056   6.9097E+06 -2.2233E+04 -1.3534E+05
0000057   6.5953E+06  1.1934E+06 -2.7315E+05
0000058   7.0850E+06 -3.5794E+04 -6.1288E+04
0000059   6.9167E+06  1.1834E+05  2.1355E+04
0000060   6.9212E+06  5.3513E+04  1.6339E+04
0000061   6.9951E+06  9.9943E+03 -9.1838E+04
0000062   6.9908E+06 -4.5717E+04  3.0830E+05
0000063   7.0301E+06 -1.7740E+05  1.1494E+05
0000064   6.9475E+06  4.9167E+04  2.7964E+05
0000065   7.0351E+06  1.6129E+05 -1.5561E+05
0000066   7.0271E+06 -9.3425E+04  1.0026E+05
0000067   6.9872E+06 -7.7192E+04 -5.2261E+04
0000068   6.8917E+06  8.1891E+04  3.3412E+04
0000069   7.0258E+06 -9.7593E+04  9.6848E+03
0000070   6.9639E+06  5.4746E+04 -1.4278E+05
0000071   6.9025E+06 -1.8254E+05  1.0868E+05
0000072   6.8783E+06 -6.9513E+04 -3.6913E+05
0000073   7.0308E+06  1.7780E+04  1.9601E+05
0000074   6.9721E+06  1.5015E+05 -1.4308E+05
0000075   6.9307E+06 -1.9274E+04  3.1817E+04
0000076   7.0067E+06 -1.6402E+05 -1.1036E+05
0000077   7.0143E+06  1.1652E+05 -1.5388E+05
0000078   7.0811E+06 -1.1936E+05  6.5995E+04
0000079   7.0842E+06  2.0708E+05 -1.0505E+05
0000080   7.0383E+06 -7.4142E+04 -1.7614E+05
0000081   7.1051E+06  2.2650E+04 -2.0431E+04
0000082   6.9784E+06 -3.5966E+04 -9.1167E+04
0000083   7.0324E+06 -1.8579E+05  1.0207E+05
0000084   6.9733E+06  3.2645E+05  1.1551E+05
0000085   6.9173E+06  7.3373E+03  1.8841E+05
0000086   6.9315E+06  6.7019E+04  2.9057E+03
0000087   6.9914E+06  8.0983E+03  1.2458E+04
0000088   7.0673E+06  1.1685E+04 -3.7694E+05
0000089   7.0533E+06 -4.7561E+04 -4.1626E+04
0000090   7.0054E+06 -7.1880E+04  4.2521E+05
0000091   6.9498E+06  1.6055E+05  1.9838E+05
0000092   6.9002E+06 -1.0713E+05 -5.0281E+04
0000093   6.9617E+06 -9.4611E+04  1.1483E+05
0000094   6.9537E+06 -4.9887E+04 -3.1057E+04
0000095   7.0090E+06  2.1189E+05 -9.1655E+04
0000096   6.9945E+06  9.3818E+03  3.2180E+05
0000097   6.9279E+06 -6.0296E+04 -9.3695E+04
0000098   7.0430E+06 -2.3652E+04  5.0702E+04
0000099   7.0082E+06 -1.9091E+05 -2.5188E+05
0000100   7.0954E+06  1.7306E+04  3.8389E+04
0000101   7.0090E+06 -1.4044E+05 -1.3948E+03
0000102   6.9622E+06  1.0237E+05  8.1485E+04
0000103   7.0446E+06 -1.3656E+05  5.2598E+04
0000104   6.9831E+06  7.5808E+04  3.2326E+04
0000105   6.9969E+06 -4.0653E+04  1.8774E+05
0000106   7.1085E+06 -2.1669E+05  2.8073E+05
