============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 3079584.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   4.6019E+07  2.4303E+06 -2.4416E+05
0000002   4.4788E+07  3.2860E+05 -3.6180E+06
0000003   4.5080E+07  2.1188E+04 -3.0828E+04
0000004   4.5559E+07 -6.7855E+04  1.1850E+05
0000005   4.5546E+07 -1.1560E+05 -1.2295E+05
0000006   4.5455E+07 -1.8333E+06 -5.3426E+05
0000007   4.5967E+07 -6.0119E+05 -1.7525E+06
0000008   4.5068E+07  5.9215E+05 -1.0760E+05
0000009   4.6059E+07  2.8834E+06  2.8806E+06
0000010   4.5999E+07  2.0739E+06  7.2902E+05
0000011   4.5593E+07 -7.2152E+05  1.7727E+06
0000012   4.6049E+07  5.4800E+04 -4.0581E+04
0000013   4.6374E+07  8.8363E+05 -1.0058E+06
0000014   4.5733E+07 -4.1711E+05  8.4935E+05
0000015   4.5719E+07 -1.3837E+06 -3.4527E+05
0000016   4.4607E+07 -1.2818E+05 -2.8278E+05
0000017   4.5116E+07 -1.8913E+06 -2.4744E+06
0000018   4.4382E+07 -2.7690E+06  6.2568E+05
0000019   4.5399E+07 -2.2636E+06  7.3025E+05
0000020   4.4898E+07  4.1260E+05 -7.7968E+05
0000021   4.5773E+07  1.1658E+06 -9.1827E+05
0000022   4.5873E+07 -2.5947E+05 -1.5587E+06
0000023   4.5280E+07 -2.2303E+06 -2.1036E+05
0000024   4.5010E+07 -4.5378E+06 -8.0189E+05
0000025   4.6404E+07  4.9016E+05 -1.0201E+06
0000026   4.5866E+07  4.2564E+05  1.3565E+06
0000027   4.4401E+07  1.0479E+06 -5.5127E+05
0000028   4.5889E+07 -6.3940E+05  9.2140E+05
0000029   4.5695E+07  4.5908E+05 -1.1974E+05
0000030   4.4978E+07 -4.5672E+06  1.1564E+06
0000031   4.6118E+07  1.1263E+06  2.2643E+05
0000032   4.5842E+07  5.6588E+05  1.2252E+05
0000033   4.5090E+07  8.1267E+05 -8.7508E+05
0000034   4.5388E+07 -1.7205E+06 -2.0333E+06
0000035   4.6536E+07  5.2530E+05  2.0856E+06
0000036   4.5109E+07 -3.6516E+06 -1.2751E+06
0000037   4.5773E+07  2.0031E+05  1.1547E+06
0000038   4.5277E+07 -3.3099E+05  9.5789E+03
0000039   4.5675E+07  6.0663E+05  9.5624E+05
0000040   4.6611E+07 -1.4995E+06  2.0142E+06
0000041   4.5856E+07 -9.2323E+03 -2.2036E+04
0000042   4.5962E+07  1.5639E+06 -3.2019E+05
0000043   4.4599E+07 -3.3872E+05  3.1146E+06
0000044   4.4876E+07 -9.3370E+05 -2.3327E+06
0000045   4.5408E+07  9.3835E+05  1.5415E+05
0000046   4.5218E+07 -4.4792E+05 -5.2026E+05
0000047   4.6106E+07 -1.6687E+06  5.5343E+05
0000048   4.5301E+07  1.2586E+05  3.3524E+05
0000049   4.5905E+07  1.6628E+05  8.4517E+05
0000050   4.5561E+07  6.8971E+05  1.8793E+06
0000051   4.4689E+07 -2.5922E+05 -2.1833E+06
0000052   4.6338E+07 -3.3771E+05  1.4654E+06
0000053   4.6087E+07  1.4035E+06 -7.5049E+05
0000054   4.5663E+07  2.1610E+06 -5.5727E+05
0000055   4.5226E+07  1.4472E+06  5.2669E+06
0000056   4.5488E+07 -5.2623E+05  4.7553E+05
0000057   4.3965E+07  3.7508E+06  1.3366E+06
0000058   4.5786E+07  8.4250E+05  2.8565E+05
0000059   4.4294E+07  2.5750E+06 -1.4394E+06
0000060   4.5093E+07  1.5365E+06  3.9401E+05
0000061   4.5372E+07 -2.4831E+06  7.5333E+05
0000062   4.5503E+07 -2.0084E+06  1.0641E+06
0000063   4.4789E+07  1.6612E+06  1.3537E+06
0000064   4.6314E+07  3.4266E+05  1.6539E+06
0000065   4.6270E+07 -2.1620E+06  4.2409E+04
0000066   4.5676E+07 -8.3391E+05 -2.5700E+06
0000067   4.5523E+07  1.1235E+06 -6.3726E+05
0000068   4.5733E+07 -2.6732E+06 -2.2199E+05
0000069   4.5425E+07 -1.0770E+06  1.8794E+05
0000070   4.6352E+07 -1.7070E+05 -1.9281E+06
0000071   4.5601E+07  1.8827E+05 -1.9327E+06
0000072   4.5340E+07 -4.6572E+05 -1.6244E+06
0000073   4.6798E+07  2.0166E+06 -5.9718E+05
0000074   4.6146E+07  1.4056E+06  1.1501E+05
0000075   4.4918E+07  7.2159E+05 -3.0781E+06
0000076   4.5536E+07 -5.0452E+05 -5.9772E+05
0000077   4.5427E+07 -2.0334E+05 -1.1013E+06
0000078   4.5240E+07 -3.3028E+05  2.1828E+06
0000079   4.5097E+07  1.6370E+05  4.1185E+05
0000080   4.5269E+07  4.1770E+06  1.0721E+05
0000081   4.5147E+07  2.5068E+05 -9.4947E+05
0000082   4.5327E+07  9.3503E+05 -2.6659E+05
0000083   4.5136E+07 -3.2608E+05 -2.2452E+06
0000084   4.4929E+07  5.2114E+05  2.9813E+05
0000085   4.5768E+07 -4.0977E+05  3.0416E+06
0000086   4.4689E+07  2.5764E+06  1.8480E+06
0000087   4.5417E+07  1.2962E+06  1.7938E+05
0000088   4.4891E+07 -1.1368E+06  3.9119E+06
0000089   4.5790E+07 -9.9136E+05  1.6412E+06
0000090   4.6158E+07  1.3334E+06  4.5323E+05
0000091   4.5936E+07 -1.1378E+06 -2.0509E+06
0000092   4.5401E+07 -4.3724E+05 -2.8350E+05
0000093   4.5499E+07 -4.5744E+05  1.6386E+06
0000094   4.5815E+07 -2.9609E+05 -1.3855E+06
0000095   4.5200E+07  2.0391E+05  8.0214E+05
0000096   4.4854E+07 -4.7572E+05 -2.5628E+06
0000097   4.4569E+07 -6.9933E+05  1.1147E+06
0000098   4.5603E+07 -4.6873E+05 -1.8649E+06
0000099   4.6202E+07 -2.1271E+06 -1.3535E+06
0000100   4.4871E+07  5.5659E+05  1.4162E+06
0000101   4.6053E+07 -4.2255E+05 -2.7450E+05
0000102   4.5027E+07  1.9300E+05  2.1412E+06
0000103   4.4839E+07  2.3122E+06  1.8987E+06
0000104   4.5730E+07  1.0446E+06 -3.6208E+05
0000105   4.4936E+07 -7.7678E+05 -6.8023E+04
0000106   4.5890E+07 -5.0635E+05 -1.2196E+06
