============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 4534065.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   9.2045E+07  3.9107E+05 -3.1196E+06
0000002   9.1231E+07  4.4680E+06 -3.2143E+05
0000003   9.2039E+07  5.7490E+06 -1.0091E+05
0000004   9.2698E+07  5.3851E+06 -1.9108E+06
0000005   9.1297E+07 -3.0289E+05  1.3460E+06
0000006   9.1079E+07  3.3146E+06 -1.8241E+06
0000007   9.0338E+07  3.9098E+06  2.1708E+06
0000008   9.1135E+07  2.3402E+06 -5.2059E+05
0000009   9.3966E+07 -6.5133E+04 -4.6497E+06
0000010   9.1392E+07 -9.5411E+05  2.1693E+06
0000011   9.1009E+07  9.1474E+05 -7.6054E+05
0000012   9.0255E+07 -5.3805E+06 -1.2306E+05
0000013   9.0108E+07 -4.2259E+05  1.2617E+06
0000014   9.0936E+07  2.2633E+06 -1.1498E+06
0000015   9.0348E+07  1.6357E+06 -9.9911E+04
0000016   9.2451E+07 -5.8760E+06  9.3428E+05
0000017   9.0740E+07 -1.1014E+06  3.5526E+06
0000018   9.0325E+07  2.0291E+06  5.4940E+05
0000019   9.0611E+07  2.1973E+06  2.4753E+05
0000020   9.2727E+07  2.1963E+06 -8.1666E+05
0000021   8.9374E+07  2.5860E+06  5.5426E+05
0000022   8.9679E+07 -4.5003E+05 -4.1572E+06
0000023   9.1086E+07 -9.9440E+05 -3.4818E+06
0000024   9.2217E+07 -4.5380E+05  5.8420E+06
0000025   9.0697E+07  5.6547E+05  2.9305E+06
0000026   9.2051E+07  1.6435E+05 -2.7130E+06
0000027   9.0279E+07 -3.6783E+05 -2.4825E+06
0000028   9.0467E+07 -4.1663E+05 -7.5455E+05
0000029   9.1437E+07 -1.2333E+06  5.5012E+05
0000030   9.2422E+07  1.5378E+05 -4.7033E+06
0000031   9.1579E+07 -3.3477E+06  1.4218E+06
0000032   8.9865E+07 -3.3028E+06  9.3642E+05
0000033   9.0605E+07 -3.0836E+06 -9.8527E+05
0000034   9.0056E+07 -6.7078E+05  7.4448E+05
0000035   9.0802E+07  2.2733E+06  1.8608E+06
0000036   9.2539E+07  1.7109E+05 -9.0563E+05
0000037   9.3672E+07 -3.0355E+05  1.3561E+06
0000038   9.2583E+07 -1.1867E+06  2.4066E+06
0000039   9.1296E+07  5.8916E+06  2.7206E+06
0000040   9.0746E+07  4.7183E+06  2.5641E+06
0000041   9.1526E+07 -2.3720E+06  1.0649E+06
0000042   9.1349E+07  3.1000E+06  1.1518E+05
0000043   8.9694E+07  1.1002E+05  2.2484E+06
0000044   9.1002E+07 -4.8686E+06 -3.1668E+06
0000045   8.9670E+07  1.8582E+06  2.2732E+06
0000046   9.0534E+07 -3.3758E+05 -1.1659E+06
0000047   8.9724E+07 -2.3773E+06  5.9962E+06
0000048   9.1503E+07 -1.0117E+06 -2.3889E+06
0000049   8.9874E+07  3.7399E+06  8.9608E+05
0000050   8.9327E+07 -3.5919E+06  5.2601E+05
0000051   9.1437E+07 -4.4072E+05 -1.0205E+06
0000052   9.1822E+07  3.0705E+06  1.7102E+06
0000053   8.9352E+07 -1.8086E+06  1.0810E+06
0000054   9.1175E+07  3.3278E+06 -4.3919E+06
0000055   9.2573E+07  1.0303E+06  2.9965E+06
0000056   9.0427E+07 -1.8373E+06  2.3393E+05
0000057   9.0936E+07 -6.5142E+05 -3.8379E+04
0000058   9.0401E+07  1.2139E+06  7.7136E+06
0000059   7.6830E+07  2.4801E+07 -2.4924E+07
0000060   9.0400E+07 -2.4825E+06 -2.2493E+06
0000061   8.9884E+07 -8.4917E+05 -2.8931E+06
0000062   9.4044E+07  2.3829E+05 -2.9633E+06
0000063   9.1216E+07 -9.4771E+05  1.2616E+06
0000064   9.1865E+07  1.0125E+05 -1.5674E+05
0000065   8.9023E+07 -1.8079E+05  8.9366E+06
0000066   9.0978E+07  5.1739E+06 -1.0549E+06
0000067   9.0818E+07 -2.7688E+05  2.7498E+06
0000068   9.0741E+07 -3.6264E+06  1.6332E+06
0000069   9.3357E+07  3.7776E+05 -7.5146E+05
0000070   9.0976E+07  2.4633E+06  3.3556E+05
0000071   8.9390E+07 -1.5847E+06  1.2222E+06
0000072   9.0814E+07  1.2522E+06 -1.5434E+06
0000073   9.0054E+07  1.4781E+05 -6.4796E+05
0000074   8.9536E+07  2.2865E+06 -6.1071E+06
0000075   9.2258E+07 -2.4924E+06  1.2701E+06
0000076   9.1347E+07  7.6336E+05  3.4630E+06
0000077   9.1939E+07  2.2062E+06  2.2455E+06
0000078   8.9403E+07  2.6400E+06  1.1105E+06
0000079   9.0820E+07  8.2153E+05  2.3383E+06
0000080   9.0459E+07  1.2684E+06 -6.7073E+05
0000081   9.1540E+07 -5.4615E+05 -1.8114E+06
0000082   9.1531E+07  2.3235E+06  1.2322E+06
0000083   9.1724E+07 -4.7039E+05 -2.8547E+05
0000084   9.1856E+07  1.7730E+06  2.6833E+06
0000085   9.1490E+07  1.9156E+06  4.9008E+06
0000086   9.0283E+07 -8.3414E+05 -2.9009E+06
0000087   8.9951E+07  4.4853E+06 -1.9905E+06
0000088   9.1846E+07 -4.0897E+06  1.7810E+06
0000089   8.8148E+07  1.4673E+06 -1.5593E+06
0000090   8.9647E+07 -1.2392E+06 -3.8699E+05
0000091   9.1425E+07  1.0618E+06 -4.1335E+05
0000092   9.1229E+07 -5.6562E+05  2.2004E+06
0000093   8.9498E+07 -2.4167E+05  2.3654E+06
0000094   8.9336E+07 -5.8559E+04 -1.9023E+06
0000095   9.1775E+07 -3.0087E+06  5.4080E+05
0000096   9.0761E+07 -6.7400E+06 -4.7045E+06
0000097   9.1279E+07  3.4610E+06 -1.6887E+06
0000098   8.9036E+07 -5.9684E+06 -5.8028E+06
0000099   9.0393E+07 -2.2019E+06 -5.2290E+05
0000100   8.8854E+07 -2.6962E+06  5.4241E+06
0000101   9.0715E+07  2.0917E+06  5.4706E+05
0000102   8.9896E+07 -2.4151E+06 -1.8026E+05
0000103   8.8746E+07  3.0173E+06 -5.9806E+06
0000104   9.2148E+07 -1.3231E+06  1.0946E+06
0000105   8.9110E+07 -4.4069E+05  2.6375E+06
0000106   9.1004E+07 -4.7922E+05  2.2924E+06
