============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1074570.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.3291 g/cm3
  Layer # 1 -  100 % of Si
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   8.2423E+06  3.5806E+05 -3.8716E+05
0000002   8.0403E+06  1.2860E+05  1.3993E+05
0000003   8.3175E+06  4.0923E+02  1.9229E+05
0000004   7.9218E+06 -9.7449E+04  1.6558E+04
0000005   7.9708E+06 -2.9033E+04  4.4901E+05
0000006   8.0951E+06 -1.0242E+04  1.0794E+05
0000007   7.9220E+06 -9.2831E+04  9.6471E+03
0000008   8.1001E+06  6.9710E+04  4.9323E+05
0000009   8.0841E+06  1.4841E+04 -4.2516E+05
0000010   8.0291E+06  4.5855E+05  3.5272E+05
0000011   8.1045E+06  2.9251E+05 -1.0615E+04
0000012   8.0666E+06 -1.4845E+04  1.5750E+05
0000013   7.9444E+06 -2.1885E+05  2.5576E+05
0000014   8.0802E+06 -2.4453E+05  2.6465E+05
0000015   8.0825E+06 -1.9815E+05 -2.0037E+05
0000016   8.0458E+06 -4.3170E+05  1.4253E+05
0000017   7.9806E+06  7.5923E+04  2.5135E+05
0000018   7.9884E+06  1.8291E+05  1.6743E+05
0000019   7.9109E+06 -3.5309E+05  1.5165E+05
0000020   8.0797E+06 -2.2343E+05 -1.8617E+03
0000021   7.9507E+06  9.3183E+04  1.4468E+05
0000022   7.9523E+06  1.3996E+04 -3.7281E+05
0000023   8.2480E+06  2.2220E+05 -3.3007E+05
0000024   8.0125E+06  5.1450E+04 -4.9241E+04
0000025   7.7511E+06  4.2878E+05  1.9735E+05
0000026   7.9902E+06  4.3199E+05 -2.9243E+05
0000027   8.0343E+06 -1.1623E+05 -1.4786E+05
0000028   8.0435E+06 -1.2035E+05 -3.1098E+03
0000029   7.8908E+06 -8.6768E+05  9.8254E+05
0000030   7.8814E+06 -3.7108E+05 -6.2654E+05
0000031   8.1311E+06 -1.7317E+05 -7.6462E+04
0000032   8.1685E+06  9.6795E+04 -3.1351E+04
0000033   7.9932E+06  6.9901E+04 -9.2407E+04
0000034   7.8367E+06  2.8956E+05 -4.5627E+05
0000035   8.1124E+06  1.7550E+05  4.3791E+05
0000036   8.2257E+06 -3.0227E+05 -2.3704E+05
0000037   7.9067E+06  4.1926E+05 -3.4766E+05
0000038   8.0412E+06 -2.3088E+04 -1.2947E+05
0000039   8.0226E+06  2.6850E+05  2.0320E+05
0000040   8.1558E+06  9.0296E+03  2.9099E+05
0000041   8.0644E+06 -2.0894E+05  1.2499E+04
0000042   7.8617E+06 -2.4152E+05 -1.5495E+05
0000043   8.0621E+06  1.1519E+05  1.8698E+05
0000044   8.0513E+06 -1.5841E+05 -9.3134E+04
0000045   7.9530E+06  3.2747E+05  6.5689E+05
0000046   8.0346E+06  2.4572E+05 -2.4287E+05
0000047   8.0584E+06  2.3668E+04 -8.8962E+03
0000048   7.6427E+06  1.4033E+06 -1.2675E+06
0000049   8.0659E+06  2.7812E+04  3.5416E+03
0000050   7.9720E+06 -1.1867E+05 -5.4305E+04
0000051   7.8263E+06  1.7577E+05  2.4283E+05
0000052   8.0667E+06  4.8917E+05  2.9930E+05
0000053   8.1833E+06 -9.2945E+04  2.1446E+05
0000054   8.0763E+06  5.0281E+05 -3.7508E+04
0000055   8.1385E+06  7.1520E+04 -1.4962E+05
0000056   7.8019E+06  1.1917E+05 -1.0878E+05
0000057   7.9975E+06 -4.0739E+05  4.3006E+05
0000058   8.0923E+06  7.1418E+04  2.2044E+05
0000059   7.9817E+06  4.6861E+05 -4.4653E+05
0000060   8.0525E+06 -2.2197E+05 -2.2359E+05
0000061   8.2176E+06 -2.0303E+05  3.9447E+05
0000062   8.0677E+06 -9.3863E+04  1.3109E+05
0000063   8.2387E+06 -1.3291E+04 -4.5147E+04
0000064   7.9391E+06 -2.6232E+04  3.0100E+04
0000065   8.1639E+06 -1.9623E+05 -5.9970E+05
0000066   8.0581E+06 -4.7275E+04 -5.4459E+04
0000067   7.9949E+06 -1.6256E+05  1.3590E+05
0000068   7.9155E+06 -5.5591E+05 -7.6586E+04
0000069   7.9177E+06 -3.8498E+05 -1.8177E+05
0000070   8.1006E+06 -3.7229E+05 -2.3595E+05
0000071   8.1423E+06 -5.6913E+05  1.2544E+05
0000072   7.9192E+06 -2.4487E+05  3.9107E+04
0000073   8.2877E+06 -3.4506E+04  3.7719E+05
0000074   7.9561E+06  7.7372E+04  1.8027E+04
0000075   7.9292E+06 -5.6947E+05 -2.4093E+05
0000076   8.0881E+06  8.9860E+04  1.0123E+05
0000077   8.0716E+06  1.5970E+05 -1.6231E+05
0000078   7.9983E+06  2.1386E+05 -1.0716E+06
0000079   8.1859E+06  4.0521E+05  2.0258E+05
0000080   8.1035E+06  4.1345E+05 -2.5147E+05
0000081   7.9970E+06 -2.5023E+05 -8.2225E+04
0000082   8.0639E+06 -7.7704E+05  1.4210E+05
0000083   8.1236E+06  1.7341E+05  1.2714E+05
0000084   8.1916E+06  1.3774E+05 -1.4546E+05
0000085   8.1364E+06  1.8473E+05 -2.3368E+05
0000086   8.2342E+06  2.9427E+05 -3.1492E+05
0000087   8.1982E+06 -3.3655E+05 -3.6070E+05
0000088   8.0634E+06  1.4649E+05 -1.8373E+05
0000089   8.0815E+06  2.6511E+05  1.9335E+04
0000090   7.7354E+06 -7.8912E+05  1.0833E+06
0000091   7.9402E+06  3.7668E+04  1.9919E+05
0000092   7.8891E+06 -4.8634E+04  4.9394E+04
0000093   8.1237E+06 -8.4859E+04  1.5059E+05
0000094   8.0139E+06  2.2590E+04  2.4057E+05
0000095   7.8310E+06 -4.1582E+02 -1.5161E+04
0000096   8.0523E+06 -1.0634E+05 -6.6495E+04
0000097   8.0022E+06  1.1335E+05 -2.4015E+05
0000098   8.1494E+06  1.6920E+05  2.5892E+05
0000099   7.8643E+06  5.3475E+05 -2.0099E+04
0000100   7.8137E+06  2.0168E+05 -4.1470E+05
0000101   8.0261E+06  1.2926E+05  4.4825E+05
0000102   8.1029E+06 -1.7609E+05 -3.1674E+05
0000103   8.1841E+06 -2.7142E+05  3.6098E+05
0000104   8.0839E+06  1.6195E+05 -1.6933E+05
0000105   7.9867E+06  2.7283E+05  3.0342E+05
0000106   8.2416E+06  1.4605E+05 -2.0155E+05
