============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 1936337.E-02 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0002.6981 g/cm3
  Layer # 1 -  100 % of Al
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.0193E+07 -7.3649E+03  5.5810E+05
0000002   2.0110E+07  4.4473E+05 -1.9495E+05
0000003   1.9667E+07  2.5402E+05  1.0957E+05
0000004   1.9753E+07 -3.6786E+05 -1.5793E+06
0000005   2.0077E+07  8.6252E+05 -8.2830E+05
0000006   2.0192E+07  7.3297E+05  5.9406E+05
0000007   1.9956E+07 -8.5675E+05  3.9015E+05
0000008   2.0047E+07  9.5396E+05 -3.2173E+06
0000009   1.9798E+07  3.8812E+05 -3.0493E+04
0000010   2.0087E+07  4.6877E+04 -2.8452E+05
0000011   2.0147E+07 -1.7804E+05 -2.4918E+05
0000012   1.9750E+07  5.6347E+05  3.8021E+05
0000013   2.0223E+07 -1.5933E+05  3.3279E+05
0000014   1.9984E+07 -1.0428E+05  6.5052E+05
0000015   1.9999E+07 -2.5392E+05 -6.2514E+05
0000016   2.0536E+07  3.5697E+05 -3.7392E+05
0000017   1.9239E+07  6.4996E+05  8.0535E+05
0000018   2.0072E+07 -8.4766E+04  2.3272E+05
0000019   2.0134E+07  5.8717E+05 -2.7881E+05
0000020   2.0052E+07  3.5115E+05  1.4074E+05
0000021   1.9627E+07  5.5165E+05 -5.0212E+05
0000022   1.9887E+07  2.4874E+05 -8.6642E+05
0000023   2.0416E+07  5.3335E+04 -2.6102E+05
0000024   2.0463E+07 -8.0195E+05  7.0756E+05
0000025   1.9843E+07  5.7856E+05 -6.8970E+04
0000026   2.0045E+07 -3.8645E+05 -7.9391E+05
0000027   1.9718E+07 -9.9825E+05  1.3233E+06
0000028   1.9671E+07 -8.7022E+05 -1.6442E+03
0000029   1.9940E+07 -1.4560E+05  9.5898E+05
0000030   2.0043E+07 -2.3125E+05  2.3914E+05
0000031   1.9992E+07 -4.8364E+05 -9.6784E+05
0000032   1.9984E+07  1.2264E+05 -2.7413E+05
0000033   2.0329E+07  2.7793E+04 -1.4860E+05
0000034   1.9755E+07  2.8010E+05  4.1748E+05
0000035   2.0192E+07 -1.7155E+05 -4.5597E+05
0000036   1.9582E+07 -7.3330E+04  6.1501E+05
0000037   2.0103E+07 -5.7402E+04  3.0038E+05
0000038   1.9566E+07 -7.5369E+04  6.8314E+04
0000039   1.9878E+07  2.4148E+05  1.7831E+04
0000040   1.9921E+07 -2.3244E+05  3.4453E+05
0000041   2.0229E+07 -1.6309E+06  1.0473E+05
0000042   1.9964E+07  5.9086E+05 -5.3937E+03
0000043   2.0375E+07  7.2595E+05 -6.8577E+04
0000044   2.0019E+07 -3.4090E+05  7.0006E+05
0000045   2.0285E+07  2.7189E+05  1.4074E+05
0000046   2.0238E+07  8.0520E+04 -1.7899E+05
0000047   2.0158E+07  4.2391E+05  8.0044E+05
0000048   2.0004E+07 -7.2975E+05 -9.4812E+05
0000049   2.0203E+07  3.2357E+05  2.2183E+05
0000050   2.0303E+07 -3.8822E+05  6.2088E+05
0000051   1.9582E+07  6.3384E+05 -1.4678E+05
0000052   1.9590E+07 -5.9843E+05  7.4628E+05
0000053   2.0241E+07  3.6113E+05  3.1232E+04
0000054   1.9971E+07  6.1446E+04  2.1484E+05
0000055   1.9882E+07 -1.1942E+04 -6.7740E+05
0000056   2.0465E+07 -4.8042E+05  7.4768E+05
0000057   1.9625E+07 -4.2571E+05 -3.7095E+05
0000058   2.0080E+07  6.3892E+05  1.4286E+05
0000059   2.0156E+07  3.1774E+05 -4.4826E+05
0000060   1.9639E+07 -1.7960E+05 -1.2384E+05
0000061   1.9964E+07  4.5113E+05  3.6864E+05
0000062   1.9805E+07 -3.4243E+05  1.4419E+05
0000063   2.0020E+07  1.3280E+05 -1.7322E+05
0000064   2.0022E+07  7.7429E+05  6.3078E+05
0000065   1.9487E+07  2.9434E+05 -1.8736E+04
0000066   1.9760E+07  1.0660E+06  1.1003E+06
0000067   2.0155E+07  6.5216E+05 -2.2507E+05
0000068   2.0006E+07 -1.6552E+05 -4.7332E+04
0000069   2.0103E+07 -2.5221E+05 -8.2568E+05
0000070   2.0087E+07  1.4392E+06 -8.0357E+05
0000071   2.0663E+07  5.5773E+04 -3.1687E+05
0000072   2.0124E+07  4.7023E+05 -4.2231E+05
0000073   2.0109E+07 -6.6699E+05 -7.3767E+05
0000074   1.9693E+07 -3.6078E+05 -7.4907E+05
0000075   2.0269E+07 -1.7798E+05 -3.4904E+04
0000076   2.0070E+07  4.7819E+05  5.4653E+05
0000077   2.0138E+07  1.4553E+06  1.4821E+06
0000078   1.9852E+07  3.5005E+05  3.7486E+05
0000079   1.9754E+07  2.9426E+04 -8.3472E+04
0000080   1.9780E+07 -8.1300E+05  1.2079E+06
0000081   2.0236E+07  1.1150E+06 -6.1264E+05
0000082   2.0041E+07  1.2592E+05  1.6572E+05
0000083   2.0090E+07 -9.6845E+03 -7.4716E+05
0000084   2.0174E+07  7.9952E+05  1.7593E+05
0000085   2.0409E+07 -9.9861E+04  4.1343E+05
0000086   2.0217E+07 -1.5664E+05  6.3571E+05
0000087   1.9783E+07  2.6517E+05 -1.5661E+05
0000088   2.0139E+07 -8.2608E+05  1.3553E+05
0000089   1.9688E+07 -3.7145E+05  7.1050E+05
0000090   1.9653E+07 -1.3590E+06  3.2809E+05
0000091   2.0030E+07 -2.3119E+05 -1.9880E+05
0000092   2.0747E+07  2.3115E+05 -1.0776E+06
0000093   1.9631E+07  9.2738E+04 -7.0164E+05
0000094   1.9845E+07  8.4712E+05  4.7301E+05
0000095   2.0261E+07 -3.4558E+05  8.8350E+05
0000096   2.0460E+07  2.1484E+05  1.6299E+06
0000097   1.9710E+07 -4.1884E+05  2.1296E+05
0000098   1.9787E+07 -8.3251E+05 -9.7979E+05
0000099   2.0129E+07 -1.3804E+05  7.6967E+05
0000100   2.0620E+07 -1.5821E+05  6.4486E+05
0000101   2.0012E+07  3.3662E+05  2.2298E+05
0000102   1.9934E+07  1.8905E+04  7.1190E+05
0000103   2.0015E+07 -1.0679E+05 -3.7833E+05
0000104   1.9817E+07  1.5816E+05  1.7715E+05
0000105   1.9894E+07 -1.5894E+06  2.0716E+06
0000106   1.9856E+07  5.8126E+05 -5.5869E+05
