============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion = He (02)   Ion Mass= 004.0030
Energy  = 1800582.E-01 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   2.0927E+07  4.8880E+05 -5.4864E+05
0000002   2.1133E+07  1.5901E+06  2.0154E+05
0000003   2.1158E+07  1.5087E+06 -4.5166E+05
0000004   2.1310E+07 -4.4117E+05  2.5994E+04
0000005   2.0951E+07 -3.4240E+05  4.4222E+04
0000006   2.1075E+07  3.0353E+05 -7.6939E+05
0000007   2.1192E+07  1.4466E+06  4.6409E+05
0000008   2.1083E+07  3.6115E+05  9.8341E+04
0000009   2.0974E+07  9.7702E+05  8.4005E+05
0000010   2.1137E+07  2.5724E+05 -2.3056E+05
0000011   2.1097E+07  4.3102E+05  1.4760E+06
0000012   2.0744E+07 -1.3935E+06  1.3471E+06
0000013   2.1273E+07  1.3289E+06  7.9718E+05
0000014   2.1031E+07 -6.0322E+05 -1.1696E+06
0000015   2.0682E+07 -2.6674E+05 -6.6756E+05
0000016   2.1109E+07 -1.1356E+06 -1.5522E+06
0000017   2.1208E+07 -4.2443E+05  4.2689E+05
0000018   2.1090E+07  4.4594E+05  6.2920E+05
0000019   2.1030E+07  1.2664E+06  3.4126E+05
0000020   2.0932E+07  9.5814E+04 -6.0064E+05
0000021   2.1214E+07  7.4944E+05 -3.2141E+05
0000022   2.1210E+07 -4.7181E+05  4.3058E+05
0000023   2.0956E+07 -4.1869E+05  3.2417E+05
0000024   2.1206E+07 -4.4776E+05  2.3568E+03
0000025   2.1089E+07 -8.0624E+05 -6.8100E+05
0000026   2.1000E+07  6.8661E+05 -3.8870E+05
0000027   2.1080E+07  5.2781E+05  1.3755E+05
0000028   2.0997E+07  1.1760E+06 -1.4262E+06
0000029   2.1060E+07  1.4502E+05 -3.3773E+05
0000030   2.1345E+07  9.8967E+05 -2.9060E+05
0000031   2.1095E+07 -2.5378E+05 -2.5487E+05
0000032   2.1038E+07 -1.2728E+05 -1.7651E+06
0000033   2.1211E+07 -1.3424E+05  4.3011E+05
0000034   2.1150E+07  3.4712E+05  2.7306E+05
0000035   2.1107E+07  8.2670E+04 -3.2484E+05
0000036   2.0795E+07 -5.6130E+05 -9.2333E+05
0000037   2.1042E+07 -1.0442E+06 -4.6647E+05
0000038   2.1316E+07 -7.3451E+05 -2.8290E+05
0000039   2.1127E+07 -2.8350E+04  8.6937E+04
0000040   2.1323E+07 -4.1670E+05 -9.4401E+05
0000041   2.1021E+07  5.0533E+05 -2.1448E+05
0000042   2.1324E+07 -2.1236E+05 -9.0827E+04
0000043   2.0779E+07  1.5987E+06  1.7015E+06
0000044   2.1342E+07  7.5324E+05  3.1676E+05
0000045   2.1236E+07  1.3663E+05  1.1724E+06
0000046   2.0846E+07  1.1360E+06  2.4078E+06
0000047   2.1259E+07 -5.4501E+05 -1.2346E+05
0000048   2.0881E+07 -4.8182E+05  6.3123E+05
0000049   2.1453E+07  1.9532E+04  1.8412E+05
0000050   1.8347E+07  5.9683E+06 -5.1198E+06
0000051   2.0935E+07  1.3042E+06 -1.3832E+06
0000052   2.1076E+07 -8.7741E+05 -1.2157E+05
0000053   2.1210E+07  7.3728E+04  4.8107E+05
0000054   2.1192E+07  2.3495E+06 -9.4591E+05
0000055   2.1113E+07 -6.4930E+05  8.4515E+05
0000056   2.1152E+07 -2.7602E+05  1.5674E+05
0000057   2.0780E+07 -1.0181E+06  5.4557E+05
0000058   2.1183E+07  1.1269E+06  7.0699E+05
0000059   2.1161E+07 -8.0970E+05 -4.6795E+05
0000060   2.1314E+07 -3.8720E+05 -8.8216E+05
0000061   2.0837E+07  1.0754E+05  9.3320E+05
0000062   2.1069E+07  1.6335E+06 -7.4572E+05
0000063   2.0981E+07 -1.5159E+06  3.2160E+04
0000064   2.1202E+07  6.1068E+05  1.6945E+05
0000065   2.0990E+07 -9.1497E+05 -4.4381E+05
0000066   2.1223E+07 -1.3573E+06 -1.0381E+06
0000067   2.1262E+07 -6.0450E+05  5.6148E+04
0000068   2.0705E+07  3.4674E+05  2.0608E+06
0000069   2.1281E+07 -4.7614E+04 -1.0341E+06
0000070   2.1117E+07  5.5919E+05 -4.5503E+05
0000071   2.1062E+07  3.6832E+05  8.9734E+05
0000072   2.0845E+07  1.4295E+03  4.9099E+04
0000073   2.1245E+07  1.8598E+06 -1.9884E+05
0000074   1.9191E+07 -7.5050E+06  1.7726E+06
0000075   2.1107E+07 -4.3807E+05 -9.4052E+05
0000076   2.0951E+07 -8.5078E+05  3.0966E+06
0000077   2.1162E+07  9.3854E+05 -1.7885E+05
0000078   2.1103E+07  3.0544E+05 -4.8376E+02
0000079   2.1057E+07  1.2578E+06  4.8099E+05
0000080   2.1203E+07  2.5220E+04 -3.2593E+05
0000081   2.1121E+07 -1.1144E+06 -5.7700E+05
0000082   2.0887E+07  7.9750E+05 -8.2169E+05
0000083   2.0985E+07 -1.0536E+06  4.9688E+05
0000084   2.1397E+07  5.7904E+05  9.2171E+05
0000085   2.1110E+07 -1.2480E+06 -3.0775E+05
0000086   2.1048E+07  8.2540E+04 -3.9153E+05
0000087   2.0642E+07 -1.0436E+06  1.3851E+06
0000088   2.1189E+07 -7.6554E+05 -1.6665E+05
0000089   2.1195E+07 -7.7977E+04 -6.9253E+05
0000090   2.0962E+07 -1.1865E+06  1.4594E+06
0000091   2.1498E+07  5.1475E+05  2.9520E+05
0000092   2.1030E+07  3.4963E+05  2.5908E+05
0000093   2.1099E+07  1.0742E+05  1.0667E+05
0000094   2.0783E+07  4.7012E+05  5.4453E+05
0000095   2.1210E+07 -5.7814E+05 -1.0729E+05
0000096   2.0813E+07 -5.1192E+05  1.5254E+06
0000097   2.1175E+07  3.8199E+05 -7.0597E+05
0000098   2.1099E+07 -5.7321E+05 -5.6734E+05
0000099   2.0662E+07  5.9933E+05  4.6342E+05
0000100   2.1009E+07  9.7532E+03  4.3523E+04
0000101   2.0925E+07  7.0861E+05  6.9365E+05
0000102   2.1112E+07  2.0261E+05 -2.0838E+05
0000103   2.1001E+07 -9.0528E+04  5.2622E+05
0000104   2.1143E+07 -9.8873E+05  1.4079E+05
0000105   2.0808E+07 -2.6084E+06  6.3111E+05
0000106   2.1251E+07  2.9495E+05 -1.7197E+05
0000107   2.1065E+07 -8.6849E+05  6.9706E+05
