============================== SRIM-2008.04 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  H (01)   Ion Mass= 001.0080
Energy  = 4730630.E-03 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - Layer 1
  Layer # 1 - Bottom Depth=100000.E+05 A
  Layer # 1 - Density =0019.2505 g/cm3
  Layer # 1 -  100 % of  W
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   5.0682E+05  1.7038E+05 -6.0777E+04
0000002   5.4471E+05 -1.1776E+04 -2.9355E+04
0000003   5.4294E+05  5.6287E+04 -8.4181E+04
0000004   5.2732E+05 -4.7855E+04  2.1864E+03
0000005   5.4838E+05 -5.5897E+04  6.6764E+03
0000006   5.4461E+05  5.8954E+04 -6.8781E+02
0000007   5.2028E+05  6.5450E+04 -2.4441E+04
0000008   5.3132E+05 -2.4448E+04  1.1658E+05
0000009   5.5256E+05 -1.8429E+04 -7.3396E+04
0000010   5.4421E+05 -6.6060E+04 -6.7349E+03
0000011   5.4405E+05 -1.1374E+04 -2.0006E+04
0000012   5.2066E+05  4.8879E+04 -1.9993E+04
0000013   5.2812E+05 -4.7375E+04 -4.5883E+03
0000014   5.2837E+05  1.3658E+04  1.5118E+05
0000015   4.9795E+05  5.8734E+04  1.4265E+05
0000016   5.0636E+05  3.9108E+02 -1.1883E+05
0000017   5.4923E+05  2.3620E+04  1.0877E+04
0000018   5.2795E+05 -5.1578E+04  9.5153E+03
0000019   5.0604E+05 -2.3686E+04  8.9153E+04
0000020   5.2533E+05  6.2743E+04  6.5860E+04
0000021   5.3630E+05  3.0749E+04  2.4490E+04
0000022   5.3651E+05 -2.7080E+04 -6.3346E+04
0000023   5.2175E+05  8.5879E+03 -6.4595E+04
0000024   5.3173E+05 -4.2888E+04  2.3817E+04
0000025   5.1614E+05 -4.5824E+04 -9.7552E+04
0000026   5.3032E+05 -2.5720E+04  6.7409E+03
0000027   5.2933E+05 -6.8510E+04  6.1934E+04
0000028   5.2285E+05  5.5039E+04 -1.0859E+04
0000029   5.0859E+05  2.6064E+04 -1.4805E+05
0000030   5.4045E+05 -2.5781E+04 -1.6153E+04
0000031   5.4813E+05 -5.8351E+03  2.4206E+04
0000032   5.3643E+05 -7.3113E+03 -4.6347E+04
0000033   5.3079E+05  1.4236E+05 -1.2301E+04
0000034   4.5528E+05  9.4413E+04 -1.8494E+05
0000035   5.3694E+05  4.7978E+04 -3.3889E+04
0000036   5.2854E+05  7.5788E+03 -1.2586E+04
0000037   5.3142E+05 -3.7777E+03  2.4594E+04
0000038   5.2908E+05 -6.8037E+04 -4.7672E+04
0000039   5.3744E+05  2.0384E+04  1.2200E+04
0000040   5.4194E+05 -2.4453E+03 -5.8869E+04
0000041   5.4263E+05 -1.4761E+04 -3.4844E+04
0000042   5.3217E+05  1.2651E+04  4.1956E+04
0000043   5.4010E+05  3.0825E+04 -5.1849E+04
0000044   5.0195E+05  1.3636E+05  7.6586E+04
0000045   4.5790E+05 -1.6261E+05 -2.1007E+05
0000046   5.4909E+05  7.8068E+04 -2.0025E+04
0000047   5.0776E+05 -9.1762E+04 -2.8457E+04
0000048   5.3765E+05  3.4622E+04  2.6709E+04
0000049   5.5369E+05 -3.5081E+04  4.1345E+04
0000050   5.3805E+05  1.6313E+04 -9.3220E+04
0000051   5.2903E+05  6.3717E+04  8.6707E+03
0000052   5.3801E+05  2.8366E+04 -9.2006E+03
0000053   5.3696E+05  7.6332E+03 -3.4625E+04
0000054   5.3849E+05  4.1452E+04  6.5576E+04
0000055   5.5348E+05  8.4350E+03 -9.7874E+02
0000056   5.3506E+05 -4.2705E+04  2.4319E+04
0000057   5.3380E+05 -7.4505E+04 -1.3547E+04
0000058   5.3573E+05 -2.2684E+04  4.7048E+04
0000059   5.1558E+05  9.4085E+04  6.4695E+04
0000060   5.4816E+05 -2.1606E+03 -2.2946E+04
0000061   5.4364E+05 -5.3896E+04 -1.2826E+04
0000062   5.1571E+05 -7.6232E+04 -9.2890E+04
0000063   5.1294E+05  6.5039E+04  5.4683E+04
0000064   5.0523E+05 -4.8353E+04  4.8582E+04
0000065   5.2627E+05 -1.2309E+04 -1.3922E+04
0000066   5.4047E+05 -1.2181E+04 -1.1073E+03
0000067   5.1002E+05 -6.4569E+04  1.9570E+03
0000068   5.3196E+05 -6.5703E+04 -4.6991E+04
0000069   5.0898E+05 -5.6306E+04  1.8892E+04
0000070   5.2303E+05  5.6935E+04 -9.1976E+04
0000071   5.3753E+05 -8.4940E+04  3.1607E+03
0000072   5.0586E+05  2.4493E+04  1.8250E+05
0000073   5.3993E+05  2.3554E+03  8.3242E+04
0000074   5.4916E+05  3.4229E+04  1.6171E+04
0000075   5.3521E+05 -3.3199E+04 -1.5902E+04
0000076   5.1259E+05  2.1659E+04  2.2556E+04
0000077   5.5920E+05 -2.9644E+04  4.5551E+04
0000078   5.3885E+05  4.1898E+04  8.2317E+03
0000079   5.3446E+05 -2.1403E+04 -1.9945E+04
0000080   5.3349E+05  6.1291E+04 -2.9168E+03
0000081   5.1697E+05 -1.2413E+05  1.8099E+03
0000082   5.3811E+05 -4.6721E+04 -5.0025E+04
0000083   5.1929E+05  9.1273E+04  2.5871E+04
0000084   5.2981E+05  2.0064E+04 -1.0739E+05
0000085   5.2914E+05  1.7224E+04  8.6274E+04
0000086   5.4179E+05  3.5623E+04 -2.8605E+04
0000087   5.4958E+05 -8.3094E+03  1.1445E+04
0000088   5.1940E+05  3.0591E+04 -1.1222E+05
0000089   5.2062E+05  2.0447E+04  9.2579E+03
0000090   5.0218E+05 -1.6246E+04 -1.5777E+05
0000091   5.3820E+05 -6.7434E+04  4.2877E+03
0000092   5.2520E+05 -3.0441E+04 -6.1739E+04
0000093   5.3291E+05 -1.1066E+04 -3.5875E+04
0000094   5.3519E+05  4.2675E+04  3.1234E+04
0000095   5.2039E+05 -7.5427E+04 -5.0804E+04
0000096   5.3413E+05  7.6139E+04  2.8363E+04
0000097   5.5703E+05  2.1780E+04 -3.7892E+04
0000098   5.4473E+05  6.1339E+03 -8.5009E+04
0000099   5.1471E+05  5.5722E+04 -8.7200E+04
0000100   5.3056E+05  1.0170E+05 -4.6256E+04
0000101   4.7960E+05  1.5247E+03 -7.6202E+04
0000102   5.3108E+05 -4.7906E+04 -9.8785E+04
0000103   5.3205E+05 -2.9691E+04  4.0596E+04
0000104   5.4544E+05  3.3553E+04 -2.3010E+04
0000105   5.4058E+05 -2.7047E+04  7.9576E+04
0000106   5.3306E+05 -4.4500E+04  5.7234E+04
